"name","country","stateProvince","municipality","protectionCategory","UC_ID","source","type","slug"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DEGREDO","Brazil","Espírito Santo","LINHARES (ES)","Uso Sustentável",2.054,"cnuc_2025_08.csv","ARIE","ARIE_DEGREDO"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LAERTH PAIVA GAMA","Brazil","Espírito Santo","ALEGRE (ES)","Uso Sustentável",2.878,"cnuc_2025_08.csv","ARIE","ARIE_LAERTH_PAIVA_GAMA"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MORRO DA VARGEM","Brazil","Espírito Santo","IBIRAÇU (ES)","Uso Sustentável",1.012,"cnuc_2025_08.csv","ARIE","ARIE_MORRO_DA_VARGEM"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MUNICIPAL AROEIRAS DO RIACHO","Brazil","Espírito Santo","ARACRUZ (ES)","Uso Sustentável",3.065,"cnuc_2025_08.csv","ARIE","ARIE_MUNICIPAL_AROEIRAS_DO_RIACHO"
"ESTAÇÃO ECOLÓGICA MUNICIPAL ILHA DO LAMEIRÃO","Brazil","Espírito Santo","VITÓRIA (ES)","Proteção Integral",2.647,"cnuc_2025_08.csv","EEC","EEC_MUNICIPAL_ILHA_DO_LAMEIRAO"
"FLORESTA NACIONAL GOYTACAZES","Brazil","Espírito Santo","LINHARES (ES)","Uso Sustentável",91,"cnuc_2025_08.csv","FLONA","FLONA_GOYTACAZES"
"FLORESTA NACIONAL PACOTUBA","Brazil","Espírito Santo","CACHOEIRO DE ITAPEMIRIM (ES)","Uso Sustentável",101,"cnuc_2025_08.csv","FLONA","FLONA_PACOTUBA"
"FLORESTA NACIONAL RIO PRETO","Brazil","Espírito Santo","CONCEIÇÃO DA BARRA (ES)","Uso Sustentável",122,"cnuc_2025_08.csv","FLONA","FLONA_RIO_PRETO"
"MONUMENTO NATURAL ESTADUAL SERRA DAS TORRES","Brazil","Espírito Santo","ATÍLIO VIVACQUA (ES) - MIMOSO DO SUL (ES) - MUQUI (ES)","Proteção Integral",2.319,"cnuc_2025_08.csv","MNE","MNE_SERRA_DAS_TORRES"
"MONUMENTO NATURAL ILHAS DE TRINDADE E MARTIM VAZ E DO MONTE COLÚMBIA","Brazil","Espírito Santo","VITÓRIA (ES)","Proteção Integral",3.642,"cnuc_2025_08.csv","MONA","MONA_ILHAS_DE_TRINDADE_E_MARTIM_VAZ_E_DO_MONTE_COLUMBIA"
"MONUMENTO NATURAL ITABIRA","Brazil","Espírito Santo","CACHOEIRO DE ITAPEMIRIM (ES)","Proteção Integral",4.875,"cnuc_2025_08.csv","MONA","MONA_ITABIRA"
"MONUMENTO NATURAL MORRO DO MORENO","Brazil","Espírito Santo","VILA VELHA (ES)","Proteção Integral",4.582,"cnuc_2025_08.csv","MONA","MONA_MORRO_DO_MORENO"
"MONUMENTO NATURAL MUNICIPAL FALÉSIAS DE MARATAÍZES","Brazil","Espírito Santo","MARATAÍZES (ES)","Proteção Integral",2.879,"cnuc_2025_08.csv","MONA","MONA_MUNICIPAL_FALESIAS_DE_MARATAIZES"
"MONUMENTO NATURAL MUNICIPAL MORRO DO PENEDO","Brazil","Espírito Santo","VILA VELHA (ES)","Proteção Integral",2.915,"cnuc_2025_08.csv","MONA","MONA_MUNICIPAL_MORRO_DO_PENEDO"
"MONUMENTO NATURAL MUNICIPAL PEDRA DO MONJOLO","Brazil","Espírito Santo","BAIXO GUANDU (ES)","Proteção Integral",3.91,"cnuc_2025_08.csv","MONA","MONA_MUNICIPAL_PEDRA_DO_MONJOLO"
"MONUMENTO NATURAL MUNICIPAL PEDRA DOS TRÊS PONTÕES","Brazil","Espírito Santo","AFONSO CLÁUDIO (ES)","Proteção Integral",4.619,"cnuc_2025_08.csv","MONA","MONA_MUNICIPAL_PEDRA_DOS_TRES_PONTOES"
"MONUMENTO NATURAL O FRADE E A FREIRA","Brazil","Espírito Santo","CACHOEIRO DE ITAPEMIRIM (ES) - ITAPEMIRIM (ES) - VARGEM ALTA (ES)","Proteção Integral",1.533,"cnuc_2025_08.csv","MONA","MONA_O_FRADE_E_A_FREIRA"
"MONUMENTO NATURAL PONTÕES CAPIXABAS","Brazil","Espírito Santo","ÁGUIA BRANCA (ES) - PANCAS (ES)","Proteção Integral",181,"cnuc_2025_08.csv","MONA","MONA_PONTOES_CAPIXABAS"
"PARQUE ESTADUAL CACHOEIRA DA FUMAÇA","Brazil","Espírito Santo","ALEGRE (ES) - IBITIRAMA (ES)","Proteção Integral",1.831,"cnuc_2025_08.csv","PE","PE_CACHOEIRA_DA_FUMACA"
"PARQUE ESTADUAL FONTE GRANDE","Brazil","Espírito Santo","VITÓRIA (ES)","Proteção Integral",2.644,"cnuc_2025_08.csv","PE","PE_FONTE_GRANDE"
"PARQUE ESTADUAL FORNO GRANDE","Brazil","Espírito Santo","CASTELO (ES)","Proteção Integral",1.534,"cnuc_2025_08.csv","PE","PE_FORNO_GRANDE"
"PARQUE ESTADUAL ITAÚNAS","Brazil","Espírito Santo","CONCEIÇÃO DA BARRA (ES)","Proteção Integral",331,"cnuc_2025_08.csv","PE","PE_ITAUNAS"
"PARQUE ESTADUAL MATA DAS FLORES","Brazil","Espírito Santo","CASTELO (ES)","Proteção Integral",1.833,"cnuc_2025_08.csv","PE","PE_MATA_DAS_FLORES"
"PARQUE ESTADUAL PAULO CÉSAR VINHA","Brazil","Espírito Santo","GUARAPARI (ES)","Proteção Integral",332,"cnuc_2025_08.csv","PE","PE_PAULO_CESAR_VINHA"
"PARQUE ESTADUAL PEDRA AZUL","Brazil","Espírito Santo","DOMINGOS MARTINS (ES) - VARGEM ALTA (ES)","Proteção Integral",4.974,"cnuc_2025_08.csv","PE","PE_PEDRA_AZUL"
"PARQUE NATURAL MUNICIPAL ARICANGA WALDEMAR DEVENS","Brazil","Espírito Santo","ARACRUZ (ES)","Proteção Integral",1.565,"cnuc_2025_08.csv","PNM","PNM_ARICANGA_WALDEMAR_DEVENS"
"PARQUE NATURAL MUNICIPAL BERRA ONÇA","Brazil","Espírito Santo","BREJETUBA (ES)","Proteção Integral",4.119,"cnuc_2025_08.csv","PNM","PNM_BERRA_ONCA"
"PARQUE NATURAL MUNICIPAL BICANGA","Brazil","Espírito Santo","SERRA (ES)","Proteção Integral",2.583,"cnuc_2025_08.csv","PNM","PNM_BICANGA"
"PARQUE NATURAL MUNICIPAL CACHOEIRA DO CAIADO","Brazil","Espírito Santo","VARGEM ALTA (ES)","Proteção Integral",4.245,"cnuc_2025_08.csv","PNM","PNM_CACHOEIRA_DO_CAIADO"
"PARQUE NATURAL MUNICIPAL CONCEIÇÃO DA BARRA","Brazil","Espírito Santo","CONCEIÇÃO DA BARRA (ES)","Proteção Integral",3.426,"cnuc_2025_08.csv","PNM","PNM_CONCEICAO_DA_BARRA"
"PARQUE NATURAL MUNICIPAL DAVID VICTOR FARINA","Brazil","Espírito Santo","ARACRUZ (ES)","Proteção Integral",1.566,"cnuc_2025_08.csv","PNM","PNM_DAVID_VICTOR_FARINA"
"PARQUE NATURAL MUNICÍPAL DE DOMINGOS MARTINS","Brazil","Espírito Santo","DOMINGOS MARTINS (ES)","Proteção Integral",2.067,"cnuc_2025_08.csv",NA,"PARQUE_NATURAL_MUNICIPAL_DE_DOMINGOS_MARTINS"
"PARQUE NATURAL MUNICIPAL DIVISA","Brazil","Espírito Santo","DORES DO RIO PRETO (ES)","Proteção Integral",4.539,"cnuc_2025_08.csv","PNM","PNM_DIVISA"
"PARQUE NATURAL MUNICIPAL DOM LUIZ GONZAGA FERNANDES","Brazil","Espírito Santo","VITÓRIA (ES)","Proteção Integral",2.651,"cnuc_2025_08.csv","PNM","PNM_DOM_LUIZ_GONZAGA_FERNANDES"
"PARQUE NATURAL MUNICIPAL FAZENDA SANTA MARIA","Brazil","Espírito Santo","MUNIZ FREIRE (ES)","Proteção Integral",4.554,"cnuc_2025_08.csv","PNM","PNM_FAZENDA_SANTA_MARIA"
