"name","NumRecords","NumOuro","NumPrata","NumBronze","NumTaxons","NumSpecies","NumGenus","NumFamilies","NumLatao","NumNoMatch"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DEGREDO",0,0,0,0,NA,NA,NA,NA,NA,NA
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LAERTH PAIVA GAMA",0,0,0,0,NA,NA,NA,NA,NA,NA
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MORRO DA VARGEM",0,0,0,0,NA,NA,NA,NA,NA,NA
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MUNICIPAL AROEIRAS DO RIACHO",0,0,0,0,NA,NA,NA,NA,NA,NA
"ESTAÇÃO ECOLÓGICA MUNICIPAL ILHA DO LAMEIRÃO",0,0,0,0,NA,NA,NA,NA,NA,NA
"FLORESTA NACIONAL GOYTACAZES",10,2,0,6,9,9,9,9,1,0
"FLORESTA NACIONAL PACOTUBA",4,1,0,0,2,2,2,2,1,0
"FLORESTA NACIONAL RIO PRETO",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL ESTADUAL SERRA DAS TORRES",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL ILHAS DE TRINDADE E MARTIM VAZ E DO MONTE COLÚMBIA",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL ITABIRA",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL MORRO DO MORENO",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL MUNICIPAL FALÉSIAS DE MARATAÍZES",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL MUNICIPAL MORRO DO PENEDO",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL MUNICIPAL PEDRA DO MONJOLO",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL MUNICIPAL PEDRA DOS TRÊS PONTÕES",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL O FRADE E A FREIRA",1,0,0,1,1,1,1,1,0,0
"MONUMENTO NATURAL PONTÕES CAPIXABAS",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE ESTADUAL CACHOEIRA DA FUMAÇA",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE ESTADUAL FONTE GRANDE",1,0,0,0,1,1,1,1,1,0
"PARQUE ESTADUAL FORNO GRANDE",54,9,1,3,42,42,29,14,29,0
"PARQUE ESTADUAL ITAÚNAS",14,4,0,1,13,13,13,11,8,0
"PARQUE ESTADUAL MATA DAS FLORES",1,0,0,1,1,1,1,1,0,0
"PARQUE ESTADUAL PAULO CÉSAR VINHA",16,0,0,7,13,13,11,10,6,0
"PARQUE ESTADUAL PEDRA AZUL",5,0,0,2,5,5,5,4,3,0
"PARQUE NATURAL MUNICIPAL ARICANGA WALDEMAR DEVENS",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL BERRA ONÇA",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL BICANGA",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL CACHOEIRA DO CAIADO",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL CONCEIÇÃO DA BARRA",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL DAVID VICTOR FARINA",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICÍPAL DE DOMINGOS MARTINS",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL DIVISA",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL DOM LUIZ GONZAGA FERNANDES",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL FAZENDA SANTA MARIA",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL GOIAPABA-AÇU",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL GRUTA DA ONÇA",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL JACARENEMA",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL MANGUEZAL DE ITANGUÁ",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL MONTE MOCHUARA",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL MORRO DA MANTEIGUEIRA",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL MORRO DA PESCARIA",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL PEDRA DOS OLHOS",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL PURIS",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL ROTA DAS GARÇAS",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL TABUAZEIRO",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL VALE DO MULEMBÁ",0,0,0,0,NA,NA,NA,NA,NA,NA
