"family","scientificName","scientificNameAuthorship","x"
"Araceae","Philodendron neglectum","Magno & Calazans",141
"Myrtaceae","Eugenia dichroma","O.Berg",110
"Lauraceae","Ocotea magnilimba","Kosterm.",94
"Marantaceae","Goeppertia","Nees",89
"Poaceae","Stapfochloa elata","(Desv.) P.M.Peterson",88
"Cladoniaceae","Heppia crispatula","Nyl.",86
"Campanulaceae","Lobelia","Plum. ex L.",50
"Cladoniaceae","Cladonia verticillaris","(Raddi) Fr.",49
"Cladoniaceae","Cenomyce corallifera","Kunze",49
"Melastomataceae","Microlicia cataphracta","(DC.) Versiane & R.Romero",47
"Cladoniaceae","Cladonia clathrata","Ahti & L.Xavier Filho",45
"Bromeliaceae","Stigmatodon vellozicola","(Leme & J.A.Siqueira) D.R.Couto & A.F.Costa",44
"Melastomataceae","Pleroma kollmanniana","F.S.Mey. & R.Goldenb.",44
"Cladoniaceae","Cladonia gorgonea turgidior","Nyl.",43
"Polypodiaceae","Serpocaulon polystichum","(Link) A.R.Sm.",42
"Myrtaceae","Eugenia infuscata","Valdemarin & Mazine",41
"Piperaceae","Piper corcovadense","(Miq.) C.DC.",40
"Cladoniaceae","Cladonia subsquamosa","Kremp.",40
"Cladoniaceae","Cladonia furfuracea","Vain.",40
"Cladoniaceae","Cladonia polyscypha","Ahti & L.Xavier Filho",37
"Melastomataceae","Pleroma penduliflora","Fraga & P. J. F. Guim.",37
"Poaceae","stapfochloa elata (desv.) p.m.peterson","(Desv.) P.M.Peterson",36
"Cladoniaceae","Cladonia subradiata","(Vain.) Sandst.",34
"Myrtaceae","Eugenia maritima","DC.",31
"Asteraceae","Cololobus ruschianus","M.Monge, Fraga & A.P.Fontana",31
"POACEAE","Stapfochloa elata","(Desv.) P.M.Peterson",30
"Cladoniaceae","Cladonia crispatula","(Nyl.) Ahti",30
"Amaranthaceae","Hebanthe eriantha","(Poir.) Pedersen",29
"LAURACEAE","Ocotea magnilimba","Kosterm.",29
"Melastomataceae","Microlicia cataphracta","(Mart. & Schrank ex DC.) Versiane & R.Romero",28
"CLADONIACEAE","Cladonia crispatula","(Nyl.) Ahti",28
"Cactaceae","Opuntia monacanthos","(Willd.) Haw.",27
"MYRTACEAE","Eugenia dichroma","O.Berg",27
"MELASTOMATACEAE","Microlicia cataphracta","(Mart. & Schrank ex DC.) Versiane & R.Romero",26
"Stereocaulaceae","Stereocaulon ramulosum","(SW.) Räusch",26
"Orchidaceae","Pabstiella leucopyramis","(Rchb.f.) Luer",23
"Bromeliaceae","Stigmatodon vellozicolus","(Leme & J.A.Siqueira) D.R.Couto & A.F.Costa",22
"Moraceae","Dorstenia mariae","Carauta, J.M.Albuq. & R.M.Castro",22
"Parmeliaceae","Usnea","Dill. ex Adans.",22
"PARMELIACEAE","Usnea","Dill. ex Adans.",22
"Schizophyllaceae","Schizophyllum commune","Fr.",22
"Erpodiaceae","Erpodium glazioui","Hampe",22
"Marantaceae","Goeppertia siqueirana","Saka",22
