"name","country","stateProvince","municipality","protectionCategory","UC_ID","source","type","slug"
"ÁREA DE PRESERVAÇÃO AMBIENTAL RIO PIRACICABA","Brazil","Minas Gerais","RIO PIRACICABA (MG)","Uso Sustentável",4.752,"cnuc_2025_08.csv",NA,"AREA_DE_PRESERVACAO_AMBIENTAL_RIO_PIRACICABA"
"ÁREA DE PROTECAO AMBIENTAL CORREGO DA MATA","Brazil","Minas Gerais","SANTA MARIA DE ITABIRA (MG)","Uso Sustentável",3.026,"cnuc_2025_08.csv",NA,"AREA_DE_PROTECAO_AMBIENTAL_CORREGO_DA_MATA"
"ESTAÇÃO ECOLÓGICA ACAUÃ","Brazil","Minas Gerais","LEME DO PRADO (MG) - TURMALINA (MG)","Proteção Integral",1.756,"cnuc_2025_08.csv","EEC","EEC_ACAUA"
"ESTAÇÃO ECOLÓGICA ÁGUA LIMPA","Brazil","Minas Gerais","CATAGUASES (MG)","Proteção Integral",383,"cnuc_2025_08.csv","EEC","EEC_AGUA_LIMPA"
"ESTAÇÃO ECOLÓGICA ARÊDES","Brazil","Minas Gerais","ITABIRITO (MG)","Proteção Integral",2.611,"cnuc_2025_08.csv","EEC","EEC_AREDES"
"ESTAÇÃO ECOLÓGICA CERCADINHO","Brazil","Minas Gerais","BELO HORIZONTE (MG)","Proteção Integral",936,"cnuc_2025_08.csv","EEC","EEC_CERCADINHO"
"ESTAÇÃO ECOLÓGICA CORUMBÁ","Brazil","Minas Gerais","ARCOS (MG) - PAINS (MG)","Proteção Integral",366,"cnuc_2025_08.csv","EEC","EEC_CORUMBA"
"ESTAÇÃO ECOLÓGICA FECHOS","Brazil","Minas Gerais","NOVA LIMA (MG)","Proteção Integral",384,"cnuc_2025_08.csv","EEC","EEC_FECHOS"
"ESTAÇÃO ECOLÓGICA MAR DE ESPANHA","Brazil","Minas Gerais","MAR DE ESPANHA (MG)","Proteção Integral",365,"cnuc_2025_08.csv","EEC","EEC_MAR_DE_ESPANHA"
"ESTAÇÃO ECOLÓGICA MATA DO CEDRO","Brazil","Minas Gerais","CARMÓPOLIS DE MINAS (MG) - CLÁUDIO (MG)","Proteção Integral",392,"cnuc_2025_08.csv","EEC","EEC_MATA_DO_CEDRO"
"ESTAÇÃO ECOLÓGICA MATA DOS AUSENTES","Brazil","Minas Gerais","SENADOR MODESTINO GONÇALVES (MG)","Proteção Integral",363,"cnuc_2025_08.csv","EEC","EEC_MATA_DOS_AUSENTES"
"ESTAÇÃO ECOLÓGICA PIRAPITINGA","Brazil","Minas Gerais","MORADA NOVA DE MINAS (MG)","Proteção Integral",61,"cnuc_2025_08.csv","EEC","EEC_PIRAPITINGA"
"ESTAÇÃO ECOLÓGICA TRIPUÍ","Brazil","Minas Gerais","OURO PRETO (MG)","Proteção Integral",367,"cnuc_2025_08.csv","EEC","EEC_TRIPUI"
"FLORESTA ESTADUAL SÃO JUDAS TADEU","Brazil","Minas Gerais","BELO HORIZONTE (MG)","Uso Sustentável",895,"cnuc_2025_08.csv","FE","FE_SAO_JUDAS_TADEU"
"FLORESTA ESTADUAL UAIMII","Brazil","Minas Gerais","OURO PRETO (MG)","Uso Sustentável",896,"cnuc_2025_08.csv","FE","FE_UAIMII"
