"name","NumRecords","NumOuro","NumPrata","NumBronze","NumTaxons","NumSpecies","NumGenus","NumFamilies","NumLatao","NumNoMatch"
"APA BICA DO IPÚ",3,0,0,0,3,3,3,3,3,0
"APA BOQUEIRÃO DO POTI",495,91,22,82,229,220,145,58,34,1
"APA DUNAS DA LAGOINHA",63,14,0,30,49,49,44,28,5,0
"APA HORTO DO PADRE CÍCERO",1,0,0,0,1,1,1,1,1,0
"APA LAGAMAR DO CAUIPE",99,10,0,59,69,69,48,30,0,0
"APA RIO PACOTI",179,1,0,160,161,160,127,60,0,1
"APA SERRA DA MERUOCA",190,25,0,60,131,121,104,48,46,0
"APA SERRA DE BATURITÉ",387,75,3,71,212,204,133,66,63,5
"ARIE CAMBEBA",1,0,0,1,1,1,1,1,0,0
"EEC AIUABA",2198,251,73,168,544,522,281,79,52,3
"EEC PÉCEM",329,27,39,61,130,128,99,43,3,1
"FLONA ARARIPE-APODI",5045,253,44,278,751,689,332,107,176,1499
"FLONA SOBRAL",119,2,0,76,78,78,59,30,0,0
"MONA FALÉSIAS DE BEBERIBE",1,1,0,0,1,1,1,1,0,0
"MONA MONÓLITOS DE QUIXADÁ",111,5,3,56,64,64,55,30,0,0
"PE BOTÂNICO DO CEARÁ",140,1,1,130,134,132,114,53,2,0
"PE COCÓ",53,7,1,13,44,43,38,21,23,1
"PE MARINHO DA PEDRA DA RISCA DO MEIO",1,0,0,1,1,1,1,1,0,0
"PE PICO ALTO",80,19,0,19,53,49,39,28,15,0
"PE SÍTIO FUNDÃO",59,7,0,25,36,36,32,23,4,0
"PARNA JERICOACOARA",387,1,1,31,37,37,25,11,4,0
"PARNA UBAJARA",1632,163,35,292,563,538,320,118,73,183
"REVIS SOLDADINHO-DO-ARARIPE",1807,116,2,116,329,303,187,67,95,1143
"RPPN AMBIENTALISTA FRANCY NUNES",2,0,0,1,1,1,1,1,0,0
"RPPN ARAÇÁ",2,0,0,1,2,2,2,2,1,0
"RPPN ARAJARA PARK",1,0,0,1,1,1,1,1,0,0
"RPPN ELIAS ANDRADE",32,11,1,17,30,30,24,13,1,0
"RPPN FAZENDA NÃO ME DEIXES",7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RPPN MÃE DA LUA",3,1,0,0,1,1,1,1,0,0
"RPPN MONTE ALEGRE",4,4,0,0,4,4,4,1,0,0
"RPPN OÁSIS ARARIPE",1,0,0,1,1,1,1,1,0,0
"RPPN SERRA DAS ALMAS",1480,168,132,147,495,475,258,82,48,1
