"name","NumRecords","NumOuro","NumPrata","NumBronze"
"ESTAÇÃO ECOLÓGICA MARACÁ JIPIOCA",0,0,0,0
"ESTAÇÃO ECOLÓGICA MARACÁ-JIPIOCA",3,3,0,0
"FLORESTA ESTADUAL AMAPÁ",395,395,0,0
"FLORESTA NACIONAL AMAPÁ",1943,1943,0,0
"PARQUE NACIONAL CABO ORANGE",402,402,0,0
"PARQUE NACIONAL MONTANHAS DO TUMUCUMAQUE",3400,3400,0,0
"PARQUE NATURAL MUNICIPAL CANCÃO",7,7,0,0
"RESERVA BIOLÓGICA LAGO PIRATUBA",179,179,0,0
"RESERVA BIOLÓGICA PARAZINHO",0,0,0,0
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL RIO IRATAPURU",862,862,0,0
"RESERVA EXTRATIVISTA MUNICIPAL BEIJA FLOR BRILHO DE FOGO",0,0,0,0
"RESERVA EXTRATIVISTA RIO CAJARI",87,87,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ALDEIA EKINOX",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE URBANO",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RETIRO BOA ESPERANÇA",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RETIRO PARAÍSO",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERINGAL TRIUNFO",0,0,0,0
