"name","NumRecords","NumOuro","NumPrata","NumBronze","NumTaxons","NumSpecies","NumGenus","NumFamilies","NumLatao","NumNoMatch"
"ESTAÇÃO ECOLÓGICA MARACÁ JIPIOCA",0,0,0,0,NA,NA,NA,NA,NA,NA
"ESTAÇÃO ECOLÓGICA MARACÁ-JIPIOCA",3,0,0,2,3,3,2,2,1,0
"FLORESTA ESTADUAL AMAPÁ",395,42,0,45,123,110,88,56,36,177
"FLORESTA NACIONAL AMAPÁ",1943,110,2,92,404,360,243,105,200,1042
"PARQUE NACIONAL CABO ORANGE",402,87,1,46,165,154,106,50,31,0
"PARQUE NACIONAL MONTANHAS DO TUMUCUMAQUE",3400,395,4,339,1057,989,438,133,319,8
"PARQUE NATURAL MUNICIPAL CANCÃO",7,6,0,0,6,6,1,1,0,0
"RESERVA BIOLÓGICA LAGO PIRATUBA",179,7,1,45,71,67,52,39,18,28
"RESERVA BIOLÓGICA PARAZINHO",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL RIO IRATAPURU",862,33,0,42,250,216,178,85,175,1
"RESERVA EXTRATIVISTA MUNICIPAL BEIJA FLOR BRILHO DE FOGO",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA EXTRATIVISTA RIO CAJARI",87,11,0,47,61,59,48,31,3,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ALDEIA EKINOX",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE URBANO",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RETIRO BOA ESPERANÇA",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RETIRO PARAÍSO",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERINGAL TRIUNFO",0,0,0,0,NA,NA,NA,NA,NA,NA
