"name","NumRecords","NumOuro","NumPrata","NumBronze","NumTaxons","NumSpecies","NumGenus","NumFamilies","NumLatao","NumNoMatch"
"APA BACIA DO RIO SÃO BARTOLOMEU",7821,1141,82,586,2020,1910,714,174,211,65
"APA BACIAS GAMA E CABEÇA DE VEADO",58871,2095,115,1382,3997,3756,1105,231,405,2156
"APA CAFURINGA",8171,858,84,703,1870,1774,682,178,225,48
"APA LAGO PARANOÁ",7571,682,25,458,1395,1327,551,136,230,50
"ARIE CAPETINGA/TAQUARA",15818,884,41,790,1977,1876,679,180,262,1124
"ARIE DOM BOSCO",301,0,0,117,119,119,82,33,2,3
"ARIE GRANJA DO IPÊ",259,20,3,98,141,139,113,49,20,0
"ARIE PARQUE JK",196,69,2,51,136,136,100,46,14,0
"ARIE SANTUÁRIO DE VIDA SILVESTRE DO RIACHO FUNDO",731,18,0,149,172,166,90,26,5,0
"EEC ÁGUAS EMENDADAS",5320,550,51,602,1364,1318,548,144,161,56
"EEC JARDIM BOTÂNICO",15162,839,30,1211,2230,2131,775,183,150,159
"FLONA BRASÍLIA",1068,41,1,180,245,232,126,44,23,13
"MONA CONJUNTO ESPELEOLÓGICO DO MORRO DA PEDREIRA",1,0,0,1,1,1,1,1,0,0
"PARNA BRASÍLIA",17451,1169,214,775,2404,2271,737,186,246,336
"REBIO CERRADÃO",1454,53,0,227,285,282,193,75,5,3
"REBIO CONTAGEM",940,103,1,167,328,311,188,70,57,1
"REBIO GAMA",1,0,0,1,1,1,1,1,0,0
"REBIO GUARÁ",1185,200,5,223,484,466,248,82,56,2
