"name","country","stateProvince","municipality","protectionCategory","UC_ID","source","type","slug"
"ÁREA DE PROTEÇÃO AMBIENTAL CATOLÉ E FERNÃO VELHO","Brazil","Alagoas","COQUEIRO SECO (AL) - MACEIÓ (AL) - RIO LARGO (AL) - SANTA LUZIA DO NORTE (AL) - SATUBA (AL)","Uso Sustentável",920,"cnuc_2025_08.csv","APA","APA_CATOLE_E_FERNAO_VELHO"
"ÁREA DE PROTEÇÃO AMBIENTAL JUREMA","Brazil","Alagoas","ARAPIRACA (AL)","Uso Sustentável",4.843,"cnuc_2025_08.csv","APA","APA_JUREMA"
"ÁREA DE PROTEÇÃO AMBIENTAL MARITUBA DO PEIXE","Brazil","Alagoas","FELIZ DESERTO (AL) - PENEDO (AL) - PIAÇABUÇU (AL)","Uso Sustentável",921,"cnuc_2025_08.csv","APA","APA_MARITUBA_DO_PEIXE"
"ÁREA DE PROTEÇÃO AMBIENTAL MURICÍ","Brazil","Alagoas","BRANQUINHA (AL) - COLÔNIA LEOPOLDINA (AL) - IBATEGUARA (AL) - JOAQUIM GOMES (AL) - MESSIAS (AL) - MURICI (AL) - NOVO LINO (AL) - SÃO JOSÉ DA LAJE (AL) - UNIÃO DOS PALMARES (AL)","Uso Sustentável",923,"cnuc_2025_08.csv","APA","APA_MURICI"
"ÁREA DE PROTEÇÃO AMBIENTAL PIAÇABUÇU","Brazil","Alagoas","FELIZ DESERTO (AL) - PIAÇABUÇU (AL)","Uso Sustentável",18,"cnuc_2025_08.csv","APA","APA_PIACABUCU"
"ÁREA DE PROTEÇÃO AMBIENTAL PRATAGY","Brazil","Alagoas","MACEIÓ (AL) - MESSIAS (AL) - RIO LARGO (AL)","Uso Sustentável",922,"cnuc_2025_08.csv","APA","APA_PRATAGY"
"ÁREA DE PROTEÇÃO AMBIENTAL SANTA RITA","Brazil","Alagoas","COQUEIRO SECO (AL) - MACEIÓ (AL) - MARECHAL DEODORO (AL)","Uso Sustentável",887,"cnuc_2025_08.csv","APA","APA_SANTA_RITA"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA CAIÇARA","Brazil","Alagoas","CANAPI (AL) - MARAVILHA (AL) - OURO BRANCO (AL) - POÇO DAS TRINCHEIRAS (AL) - SANTANA DO IPANEMA (AL)","Uso Sustentável",4.375,"cnuc_2025_08.csv","APA","APA_SERRA_DA_CAICARA"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LAGOA AZUL","Brazil","Alagoas","MARAGOGI (AL)","Uso Sustentável",4.66,"cnuc_2025_08.csv","ARIE","ARIE_LAGOA_AZUL"
"ESTAÇÃO ECOLÓGICA CURRAL DO MEIO","Brazil","Alagoas","SANTANA DO IPANEMA (AL)","Proteção Integral",4.043,"cnuc_2025_08.csv","EEC","EEC_CURRAL_DO_MEIO"
"ESTAÇÃO ECOLÓGICA MURICI","Brazil","Alagoas","FLEXEIRAS (AL) - MESSIAS (AL) - MURICI (AL)","Proteção Integral",59,"cnuc_2025_08.csv","EEC","EEC_MURICI"
"ESTAÇÃO ECOLÓGICA SERRA DOS FRIOS","Brazil","Alagoas","UNIÃO DOS PALMARES (AL)","Proteção Integral",4.729,"cnuc_2025_08.csv","EEC","EEC_SERRA_DOS_FRIOS"
"REFÚGIO DE VIDA SILVESTRE MORROS DO CARAUNÃ E DO PADRE","Brazil","Alagoas","ÁGUA BRANCA (AL)","Proteção Integral",2.576,"cnuc_2025_08.csv","REVIS","REVIS_MORROS_DO_CARAUNA_E_DO_PADRE"
"RESERVA EXTRATIVISTA MARINHA DA LAGOA DO JEQUIÁ","Brazil","Alagoas","JEQUIÁ DA PRAIA (AL)","Uso Sustentável",246,"cnuc_2025_08.csv","RESEX","RESEX_MARINHA_DA_LAGOA_DO_JEQUIA"
