"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DO SOL",,"Bromeliaceae|Zingiberaceae","Renealmia",,"L.|L.f.","BROMELIACEAE|ZINGIBERACEAE Renealmia L.|Renealmia L.f.","MBML049702","splink","MBML","Coelho, P.J.","134",,"2015",,,"Latão","Ouro",,"Santa Teresa","RPPN Vale do Sol, Floresta Ombrófila Densa, trilha da beira do córrego"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DO SOL",,"Loranthaceae","Struthanthus","marginatus|Struthanthus","(Desr.) G.Don|Eichler","LORANTHACEAE Struthanthus marginatus (Desr.) G.Don|Struthanthus rhynchophyllus Eichler","MBML053959","splink","MBML","Ferreira, A.D.","262",,"2015",,,"Latão","Ouro",,"Santa Teresa","RPPN VALE DO SOL"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DO SOL",,"Loranthaceae","Struthanthus","marginatus|Struthanthus","(Desr.) G.Don|Eichler","LORANTHACEAE Struthanthus marginatus (Desr.) G.Don|Struthanthus rhynchophyllus Eichler","MBML053776","splink","MBML","Ferreira, A.D.","5",,"2014",,,"Latão","Ouro",,"Santa Teresa","RPPN VALE DO SOL"
