"name","NumRecords","NumOuro","NumPrata","NumBronze","NumTaxons","NumSpecies","NumGenus","NumFamilies","NumLatao","NumNoMatch"
"ARIE FLORESTA DA CICUTA",191,36,3,33,98,96,70,38,26,0
"ARIE FLORESTA DA POSSE",217,46,4,58,158,155,120,51,50,3
"ARIE FORMIGUEIRO-DO-LITORAL",25,4,7,1,24,24,23,15,12,0
"ARIE ITAPEBUSSUS",341,65,2,83,218,210,158,74,68,0
"EEC ESTADUAL DE GUAXINDIBA",2808,130,80,171,553,508,267,78,172,0
"EEC GUANABARA",768,116,2,128,293,279,175,80,47,1
"EEC TAMOIOS",60,5,0,22,49,49,47,33,22,0
"FLONA MÁRIO XAVIER",3,0,0,0,2,2,2,2,2,0
"MONUIMENTO NATURAL PEDRA DAS FLORES",52,8,0,7,35,33,27,15,20,0
"MONA ARQUIPÉLAGO DAS ILHAS CAGARRAS",2,0,0,0,1,1,1,1,1,0
"MNE SERRA DA MARIA COMPRIDA",99,23,0,17,56,56,49,27,16,0
"MNE SERRA DOS MASCATES",2,0,0,0,1,1,1,1,1,0
"MONA ILHAS CAGARRAS",484,34,0,136,189,188,148,79,19,3
"MONA MORROS DO PÃO DE AÇÚCAR E URCA",439,89,1,105,271,260,178,81,76,3
"MONA MUNICIPAL DA PEDRA DE INOÃ",154,11,33,18,68,66,53,27,6,0
"MONA MUNICIPAL DA PEDRA DE ITAOCAIA",220,16,47,33,115,111,93,45,19,0
"MONA MUNICIPAL DA SERRA DO SOARINHO",1225,109,302,219,646,644,366,105,16,1
"MONA MUNICIPAL PEDRA DO CÃO SENTADO",7,2,0,3,6,6,6,5,1,0
"MONA PEDRA REDONDA",51,0,0,9,33,32,29,19,24,0
"MONA PICO DO FRADE",201,30,0,42,99,93,67,39,27,0
"MONA RECREIO DOS BANDEIRANTES",4,3,0,0,4,4,4,4,1,0
"PE COSTA DO SOL",2233,232,44,366,783,746,442,143,141,28
"PE CUNHAMBEBE",915,173,9,144,411,393,215,93,85,2
"PE DESENGANO",6334,651,69,652,1682,1585,657,197,310,8
