"name","country","stateProvince","municipality","protectionCategory","UC_ID","source","type","slug"
"ÁREA DE PROTEÇÃO AMBIENTAL ALTOS CURSOS DOS RIOS GURGUEIA E URUÇUÍ-VERMELHO","Brazil","Piauí","BARREIRAS DO PIAUÍ (PI) - GILBUÉS (PI) - SÃO GONÇALO DO GURGUÉIA (PI)","Uso Sustentável","4.812","cnuc_2025_08.csv","APA","APA_ALTOS_CURSOS_DOS_RIOS_GURGUEIA_E_URUCUI-VERMELHO"
"ÁREA DE PROTEÇÃO AMBIENTAL CACHOEIRA DO URUBU","Brazil","Piauí","BATALHA (PI) - ESPERANTINA (PI)","Uso Sustentável","4.841","cnuc_2025_08.csv","APA","APA_CACHOEIRA_DO_URUBU"
"ÁREA DE PROTEÇÃO AMBIENTAL INGAZEIRAS","Brazil","Piauí","PAULISTANA (PI)","Uso Sustentável","4.842","cnuc_2025_08.csv","APA","APA_INGAZEIRAS"
"ÁREA DE PROTEÇÃO AMBIENTAL LAGOA DE NAZARÉ","Brazil","Piauí","NAZARÉ DO PIAUÍ (PI) - SÃO FRANCISCO DO PIAUÍ (PI)","Uso Sustentável","4.827","cnuc_2025_08.csv","APA","APA_LAGOA_DE_NAZARE"
"ÁREA DE PROTEÇÃO AMBIENTAL NASCENTES DO RIO CANINDÉ","Brazil","Piauí","ACAUÃ (PI)","Uso Sustentável","4.808","cnuc_2025_08.csv","APA","APA_NASCENTES_DO_RIO_CANINDE"
"ÁREA DE PROTEÇÃO AMBIENTAL NASCENTES DO RIO LONGÁ","Brazil","Piauí","ALTO LONGÁ (PI)","Uso Sustentável","4.828","cnuc_2025_08.csv","APA","APA_NASCENTES_DO_RIO_LONGA"
"ÁREA DE PROTEÇÃO AMBIENTAL NASCENTES DO RIO URUÇUÍ-PRETO","Brazil","Piauí","BAIXA GRANDE DO RIBEIRO (PI) - BOM JESUS (PI) - GILBUÉS (PI) - MONTE ALEGRE DO PIAUÍ (PI) - SANTA FILOMENA (PI)","Uso Sustentável","4.811","cnuc_2025_08.csv","APA","APA_NASCENTES_DO_RIO_URUCUI-PRETO"
"ÁREA DE PROTEÇÃO AMBIENTAL PREFEITO JOÃO MENDES OLÍMPIO","Brazil","Piauí","TERESINA (PI)","Uso Sustentável","4.446","cnuc_2025_08.csv","APA","APA_PREFEITO_JOAO_MENDES_OLIMPIO"
"ÁREA DE PROTEÇÃO AMBIENTAL VALE DOS BURITIS E CARNAUBAIS","Brazil","Piauí","BREJO DO PIAUÍ (PI) - CANTO DO BURITI (PI) - PAJEÚ DO PIAUÍ (PI)","Uso Sustentável","4.991","cnuc_2025_08.csv","APA","APA_VALE_DOS_BURITIS_E_CARNAUBAIS"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LAGOA DO PORTINHO","Brazil","Piauí","LUÍS CORREIA (PI) - PARNAÍBA (PI)","Uso Sustentável","4.801","cnuc_2025_08.csv","ARIE","ARIE_LAGOA_DO_PORTINHO"
"ESTAÇÃO ECOLÓGICA CHAPADA DA SERRA BRANCA","Brazil","Piauí","BREJO DO PIAUÍ (PI) - JUREMA (PI) - SÃO BRAZ DO PIAUÍ (PI) - SÃO RAIMUNDO NONATO (PI)","Proteção Integral","4.805","cnuc_2025_08.csv","EEC","EEC_CHAPADA_DA_SERRA_BRANCA"
"ESTAÇÃO ECOLÓGICA URUÇUÍ - UNA","Brazil","Piauí",NA,"Proteção Integral","0000.00.0065","DadosGeoestatisticos_UCs_21jul2025.csv","EEC","EEC_URUCUI_-_UNA"
"ESTAÇÃO ECOLÓGICA URUÇUÍ-UNA","Brazil","Piauí","BAIXA GRANDE DO RIBEIRO (PI)","Proteção Integral","65","cnuc_2025_08.csv","EEC","EEC_URUCUI-UNA"
"FLORESTA NACIONAL PALMARES","Brazil","Piauí","ALTOS (PI) - TERESINA (PI)","Uso Sustentável","102","cnuc_2025_08.csv","FLONA","FLONA_PALMARES"
"MONUMENTO NATURAL ESTADUAL ITANS","Brazil","Piauí","CAJUEIRO DA PRAIA (PI)","Proteção Integral","4.809","cnuc_2025_08.csv","MNE","MNE_ITANS"
"MONUMENTO NATURAL FLORESTA FÓSSIL DO RIO POTI","Brazil","Piauí","TERESINA (PI)","Proteção Integral","5.102","cnuc_2025_08.csv","MONA","MONA_FLORESTA_FOSSIL_DO_RIO_POTI"
"PARQUE ESTADUAL CÂNION DO RIO POTI","Brazil","Piauí","BURITI DOS MONTES (PI)","Proteção Integral","3.723","cnuc_2025_08.csv","PE","PE_CANION_DO_RIO_POTI"
"PARQUE ESTADUAL RANGEL","Brazil","Piauí","CURIMATÁ (PI) - REDENÇÃO DO GURGUÉIA (PI)","Proteção Integral","4.807","cnuc_2025_08.csv","PE","PE_RANGEL"
"PARQUE ESTADUAL SERRA DE SANTO ANTÔNIO","Brazil","Piauí","CAMPO MAIOR (PI)","Proteção Integral","4.8","cnuc_2025_08.csv","PE","PE_SERRA_DE_SANTO_ANTONIO"
"PARQUE ESTADUAL ZOOBOTÂNICO","Brazil","Piauí","TERESINA (PI)","Proteção Integral","4.806","cnuc_2025_08.csv","PE","PE_ZOOBOTANICO"
"PARQUE NACIONAL SERRA DA CAPIVARA","Brazil","Piauí","BREJO DO PIAUÍ (PI) - CORONEL JOSÉ DIAS (PI) - JOÃO COSTA (PI) - SÃO RAIMUNDO NONATO (PI)","Proteção Integral","145","cnuc_2025_08.csv","PARNA","PARNA_SERRA_DA_CAPIVARA"
"PARQUE NACIONAL SERRA DAS CONFUSÕES","Brazil","Piauí","ALVORADA DO GURGUÉIA (PI) - BOM JESUS (PI) - CANTO DO BURITI (PI) - CARACOL (PI) - CRISTINO CASTRO (PI) - CURIMATÁ (PI) - GUARIBAS (PI) - JUREMA (PI) - REDENÇÃO DO GURGUÉIA (PI) - SANTA LUZ (PI) - TAMBORIL DO PIAUÍ (PI)","Proteção Integral","146","cnuc_2025_08.csv","PARNA","PARNA_SERRA_DAS_CONFUSOES"
"PARQUE NACIONAL SETE CIDADES","Brazil","Piauí","BRASILEIRA (PI) - PIRACURUCA (PI)","Proteção Integral","166","cnuc_2025_08.csv","PARNA","PARNA_SETE_CIDADES"
"PARQUE NATURAL MUNICIPAL HORTO FLORESTAL","Brazil","Piauí","CAMPO MAIOR (PI)","Proteção Integral","4.783","cnuc_2025_08.csv","PNM","PNM_HORTO_FLORESTAL"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA BOQUEIRÃO","Brazil","Piauí","CANAVIEIRA (PI)","Uso Sustentável","1.235","cnuc_2025_08.csv","RPPN","RPPN_FAZENDA_BOQUEIRAO"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA BOQUEIRÃO DOS FRADES","Brazil","Piauí","ALTOS (PI)","Uso Sustentável","1.196","cnuc_2025_08.csv","RPPN","RPPN_FAZENDA_BOQUEIRAO_DOS_FRADES"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA CENTRO","Brazil","Piauí","BURITI DOS LOPES (PI)","Uso Sustentável","1.195","cnuc_2025_08.csv","RPPN","RPPN_FAZENDA_CENTRO"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MARVÃO","Brazil","Piauí","CASTELO DO PIAUÍ (PI)","Uso Sustentável","1.194","cnuc_2025_08.csv","RPPN","RPPN_MARVAO"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RECANTO DA SERRA NEGRA","Brazil","Piauí","PIRACURUCA (PI)","Uso Sustentável","1.192","cnuc_2025_08.csv","RPPN","RPPN_RECANTO_DA_SERRA_NEGRA"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTA MARIA DE TAPUÃ","Brazil","Piauí","TERESINA (PI)","Uso Sustentável","1.193","cnuc_2025_08.csv","RPPN","RPPN_SANTA_MARIA_DE_TAPUA"
