"name","NumRecords","NumOuro","NumPrata","NumBronze"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO PARQUE DAS ÁGUAS MARECHAL RONDOM",0,0,0,0
"ESTAÇÃO ECOLÓGICA CAPIVARAS",0,0,0,0
"ESTAÇÃO ECOLÓGICA MADEIRA",0,0,0,0
"ESTAÇÃO ECOLÓGICA SAMUEL",0,0,0,0
"ESTAÇÃO ECOLÓGICA SERRA DOS TRÊS IRMÃOS",0,0,0,0
"ESTAÇÃO ECOLÓGICA SOLDADO DA BORRACHA",0,0,0,0
"ESTAÇÃO ECOLÓGICA UMIRIZAL",0,0,0,0
"FLORESTA ESTADUAL RENDIMENTO SUSTENTADO ARARAS",0,0,0,0
"FLORESTA ESTADUAL RENDIMENTO SUSTENTADO CEDRO",0,0,0,0
"FLORESTA ESTADUAL RENDIMENTO SUSTENTADO DO RIO MACHADO",0,0,0,0
"FLORESTA ESTADUAL RENDIMENTO SUSTENTADO DO RIO MADEIRA B",0,0,0,0
"FLORESTA ESTADUAL RENDIMENTO SUSTENTADO GAVIÃO",0,0,0,0
"FLORESTA ESTADUAL RENDIMENTO SUSTENTADO MUTUM",0,0,0,0
"FLORESTA ESTADUAL RENDIMENTO SUSTENTADO PERIQUITO",0,0,0,0
"FLORESTA ESTADUAL RENDIMENTO SUSTENTADO RIO VERMELHO (C)",0,0,0,0
"FLORESTA ESTADUAL RENDIMENTO SUSTENTADO TUCANO",0,0,0,0
"FLORESTA ESTADUAL RIO PARDO",0,0,0,0
"FLORESTA NACIONAL BOM FUTURO",0,0,0,0
"FLORESTA NACIONAL JACUNDÁ",2,2,0,0
"FLORESTA NACIONAL JAMARI",67,67,0,0
"MONUMENTO NATURAL MORRO CHICO MENDES",0,0,0,0
"PARQUE ESTADUAL ABAITARÁ",0,0,0,0
"PARQUE ESTADUAL CORUMBIARA",2,2,0,0
"PARQUE ESTADUAL GUAJARÁ-MIRIM",1,1,0,0
"PARQUE ESTADUAL ILHA DAS FLORES",0,0,0,0
"PARQUE ESTADUAL SERRA DOS REIS",0,0,0,0
"PARQUE MUNICIPAL ARIQUEMES",0,0,0,0
"PARQUE MUNICIPAL CANAÃ",0,0,0,0
"PARQUE MUNICIPAL NATURAL DE PIMENTA BUENO",0,0,0,0
"PARQUE MUNICIPAL NATURAL DOS PARECIS",0,0,0,0
"PARQUE NACIONAL PACAÁS NOVOS",1,1,0,0
"PARQUE NACIONAL SERRA DA CUTIA",0,0,0,0
"PARQUE NATURAL MUNICIPAL CANINDÉ",0,0,0,0
"PARQUE NATURAL MUNICIPAL RAIMUNDO PARAGUASSU DE OLIVEIRA",0,0,0,0
"PARQUE ZOOBOTÂNICO DE ARIQUEMES",0,0,0,0
"RESERVA BIOLÓGICA GUAPORÉ",0,0,0,0
"RESERVA BIOLÓGICA JARU",9,9,0,0
"RESERVA BIOLÓGICA RIO OURO PRETO",0,0,0,0
"RESERVA BIOLÓGICA TRAÇADAL",0,0,0,0
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL BOM JARDIM",0,0,0,0
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL LIMOEIRO",0,0,0,0
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL RIO MACHADO",0,0,0,0
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL SERRA GRANDE",0,0,0,0
"RESERVA DE FAUNA PAU D'OLEO",0,0,0,0
"RESERVA EXTRATIVISTA ANGELIM",0,0,0,0
"RESERVA EXTRATIVISTA AQUARIQUARA",0,0,0,0
"RESERVA EXTRATIVISTA BARREIRO DAS ANTAS",0,0,0,0
"RESERVA EXTRATIVISTA CASTANHEIRA",0,0,0,0
"RESERVA EXTRATIVISTA CURRALINHO",0,0,0,0
"RESERVA EXTRATIVISTA FREIJÓ",0,0,0,0
"RESERVA EXTRATIVISTA GARROTE",0,0,0,0
"RESERVA EXTRATIVISTA IPÊ",0,0,0,0
"RESERVA EXTRATIVISTA ITAÚBA",0,0,0,0
"RESERVA EXTRATIVISTA JACI-PARANÁ",0,0,0,0
"RESERVA EXTRATIVISTA JATOBÁ",0,0,0,0
"RESERVA EXTRATIVISTA LAGO DO CUNIÃ",5,5,0,0
"RESERVA EXTRATIVISTA MARACATIARA",0,0,0,0
"RESERVA EXTRATIVISTA MASSARANDUBA",0,0,0,0
"RESERVA EXTRATIVISTA MOGNO",0,0,0,0
"RESERVA EXTRATIVISTA PEDRAS NEGRAS",0,0,0,0
"RESERVA EXTRATIVISTA PIQUIÁ",0,0,0,0
"RESERVA EXTRATIVISTA RIO CAUTÁRIO",0,0,0,0
"RESERVA EXTRATIVISTA RIO DO CAUTÁRIO",0,0,0,0
"RESERVA EXTRATIVISTA RIO OURO PRETO",1,1,0,0
"RESERVA EXTRATIVISTA RIO PACAÁS NOVOS",0,0,0,0
"RESERVA EXTRATIVISTA RIO PRETO-JACUNDÁ",0,0,0,0
"RESERVA EXTRATIVISTA ROXINHO",0,0,0,0
"RESERVA EXTRATIVISTA SERINGUEIRA",0,0,0,0
"RESERVA EXTRATIVISTA SUCUPIRA",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ÁGUA BOA",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA BOSCO",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FRIGONOSSO",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GIBEÃO",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL IRMÃOS SATELIS",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL NOVA AURORA",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PARQUE NATURAL LEONILDO FERREIRA 1",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PARQUE NATURAL LEONILDO FERREIRA 2",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERINGAL ASSUNÇÃO",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DAS ANTAS",0,0,0,0
