"name","country","stateProvince","municipality","protectionCategory","UC_ID","source","type","slug"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO PARQUE DAS ÁGUAS MARECHAL RONDOM","Brazil","Rondônia","PORTO VELHO (RO)","Uso Sustentável",4.685,"cnuc_2025_08.csv","ARIE","ARIE_PARQUE_DAS_AGUAS_MARECHAL_RONDOM"
"ESTAÇÃO ECOLÓGICA CAPIVARAS","Brazil","Rondônia","PORTO VELHO (RO)","Proteção Integral",4.603,"cnuc_2025_08.csv","EEC","EEC_CAPIVARAS"
"ESTAÇÃO ECOLÓGICA MADEIRA","Brazil","Rondônia","PORTO VELHO (RO)","Proteção Integral",4.604,"cnuc_2025_08.csv","EEC","EEC_MADEIRA"
"ESTAÇÃO ECOLÓGICA SAMUEL","Brazil","Rondônia","CANDEIAS DO JAMARI (RO)","Proteção Integral",764,"cnuc_2025_08.csv","EEC","EEC_SAMUEL"
"ESTAÇÃO ECOLÓGICA SERRA DOS TRÊS IRMÃOS","Brazil","Rondônia","PORTO VELHO (RO)","Proteção Integral",768,"cnuc_2025_08.csv","EEC","EEC_SERRA_DOS_TRES_IRMAOS"
"ESTAÇÃO ECOLÓGICA SOLDADO DA BORRACHA","Brazil","Rondônia","CUJUBIM (RO) - PORTO VELHO (RO)","Proteção Integral",4.448,"cnuc_2025_08.csv","EEC","EEC_SOLDADO_DA_BORRACHA"
"ESTAÇÃO ECOLÓGICA UMIRIZAL","Brazil","Rondônia","PORTO VELHO (RO)","Proteção Integral",4.407,"cnuc_2025_08.csv","EEC","EEC_UMIRIZAL"
"FLORESTA ESTADUAL RENDIMENTO SUSTENTADO ARARAS","Brazil","Rondônia","CUJUBIM (RO)","Uso Sustentável",2.059,"cnuc_2025_08.csv","FE","FE_RENDIMENTO_SUSTENTADO_ARARAS"
"FLORESTA ESTADUAL RENDIMENTO SUSTENTADO CEDRO","Brazil","Rondônia","MACHADINHO D'OESTE (RO)","Uso Sustentável",763,"cnuc_2025_08.csv","FE","FE_RENDIMENTO_SUSTENTADO_CEDRO"
"FLORESTA ESTADUAL RENDIMENTO SUSTENTADO DO RIO MACHADO","Brazil","Rondônia","MACHADINHO D'OESTE (RO) - PORTO VELHO (RO)","Uso Sustentável",740,"cnuc_2025_08.csv","FE","FE_RENDIMENTO_SUSTENTADO_DO_RIO_MACHADO"
"FLORESTA ESTADUAL RENDIMENTO SUSTENTADO DO RIO MADEIRA B","Brazil","Rondônia","PORTO VELHO (RO)","Uso Sustentável",758,"cnuc_2025_08.csv","FE","FE_RENDIMENTO_SUSTENTADO_DO_RIO_MADEIRA_B"
"FLORESTA ESTADUAL RENDIMENTO SUSTENTADO GAVIÃO","Brazil","Rondônia","CUJUBIM (RO)","Uso Sustentável",761,"cnuc_2025_08.csv","FE","FE_RENDIMENTO_SUSTENTADO_GAVIAO"
"FLORESTA ESTADUAL RENDIMENTO SUSTENTADO MUTUM","Brazil","Rondônia","CUJUBIM (RO)","Uso Sustentável",759,"cnuc_2025_08.csv","FE","FE_RENDIMENTO_SUSTENTADO_MUTUM"
"FLORESTA ESTADUAL RENDIMENTO SUSTENTADO PERIQUITO","Brazil","Rondônia","CUJUBIM (RO)","Uso Sustentável",778,"cnuc_2025_08.csv","FE","FE_RENDIMENTO_SUSTENTADO_PERIQUITO"
"FLORESTA ESTADUAL RENDIMENTO SUSTENTADO RIO VERMELHO (C)","Brazil","Rondônia","PORTO VELHO (RO)","Uso Sustentável",739,"cnuc_2025_08.csv","FE","FE_RENDIMENTO_SUSTENTADO_RIO_VERMELHO_(C)"
"FLORESTA ESTADUAL RENDIMENTO SUSTENTADO TUCANO","Brazil","Rondônia","CUJUBIM (RO)","Uso Sustentável",760,"cnuc_2025_08.csv","FE","FE_RENDIMENTO_SUSTENTADO_TUCANO"
"FLORESTA ESTADUAL RIO PARDO","Brazil","Rondônia","PORTO VELHO (RO)","Uso Sustentável",4.441,"cnuc_2025_08.csv","FE","FE_RIO_PARDO"
"FLORESTA NACIONAL BOM FUTURO","Brazil","Rondônia","PORTO VELHO (RO)","Uso Sustentável",116,"cnuc_2025_08.csv","FLONA","FLONA_BOM_FUTURO"
"FLORESTA NACIONAL JACUNDÁ","Brazil","Rondônia","CANDEIAS DO JAMARI (RO) - PORTO VELHO (RO)","Uso Sustentável",97,"cnuc_2025_08.csv","FLONA","FLONA_JACUNDA"
"FLORESTA NACIONAL JAMARI","Brazil","Rondônia","CANDEIAS DO JAMARI (RO) - CUJUBIM (RO) - ITAPUÃ DO OESTE (RO)","Uso Sustentável",118,"cnuc_2025_08.csv","FLONA","FLONA_JAMARI"
"MONUMENTO NATURAL MORRO CHICO MENDES","Brazil","Rondônia","OURO PRETO DO OESTE (RO)","Proteção Integral",3.151,"cnuc_2025_08.csv","MONA","MONA_MORRO_CHICO_MENDES"
"PARQUE ESTADUAL ABAITARÁ","Brazil","Rondônia","PIMENTA BUENO (RO)","Proteção Integral",4.643,"cnuc_2025_08.csv","PE","PE_ABAITARA"
"PARQUE ESTADUAL CORUMBIARA","Brazil","Rondônia","ALTO ALEGRE DOS PARECIS (RO) - CEREJEIRAS (RO) - PIMENTEIRAS DO OESTE (RO)","Proteção Integral",1.495,"cnuc_2025_08.csv","PE","PE_CORUMBIARA"
"PARQUE ESTADUAL GUAJARÁ-MIRIM","Brazil","Rondônia","GUAJARÁ-MIRIM (RO) - NOVA MAMORÉ (RO)","Proteção Integral",765,"cnuc_2025_08.csv","PE","PE_GUAJARA-MIRIM"
"PARQUE ESTADUAL ILHA DAS FLORES","Brazil","Rondônia","ALTA FLORESTA D'OESTE (RO)","Proteção Integral",4.445,"cnuc_2025_08.csv","PE","PE_ILHA_DAS_FLORES"
"PARQUE ESTADUAL SERRA DOS REIS","Brazil","Rondônia","COSTA MARQUES (RO)","Proteção Integral",774,"cnuc_2025_08.csv","PE","PE_SERRA_DOS_REIS"
"PARQUE MUNICIPAL ARIQUEMES","Brazil","Rondônia","ARIQUEMES (RO)","Proteção Integral",3.871,"cnuc_2025_08.csv",NA,"PARQUE_MUNICIPAL_ARIQUEMES"
"PARQUE MUNICIPAL CANAÃ","Brazil","Rondônia","ARIQUEMES (RO)","Proteção Integral",4.908,"cnuc_2025_08.csv",NA,"PARQUE_MUNICIPAL_CANAA"
"PARQUE MUNICIPAL NATURAL DE PIMENTA BUENO","Brazil","Rondônia","PIMENTA BUENO (RO)","Proteção Integral",4.597,"cnuc_2025_08.csv",NA,"PARQUE_MUNICIPAL_NATURAL_DE_PIMENTA_BUENO"
"PARQUE MUNICIPAL NATURAL DOS PARECIS","Brazil","Rondônia","GUAJARÁ-MIRIM (RO)","Proteção Integral",5.098,"cnuc_2025_08.csv",NA,"PARQUE_MUNICIPAL_NATURAL_DOS_PARECIS"
"PARQUE NACIONAL PACAÁS NOVOS","Brazil","Rondônia","ALVORADA D'OESTE (RO) - CAMPO NOVO DE RONDÔNIA (RO) - GOVERNADOR JORGE TEIXEIRA (RO) - GUAJARÁ-MIRIM (RO) - MIRANTE DA SERRA (RO) - NOVA MAMORÉ (RO) - SÃO MIGUEL DO GUAPORÉ (RO)","Proteção Integral",163,"cnuc_2025_08.csv","PARNA","PARNA_PACAAS_NOVOS"
"PARQUE NACIONAL SERRA DA CUTIA","Brazil","Rondônia","COSTA MARQUES (RO) - GUAJARÁ-MIRIM (RO)","Proteção Integral",188,"cnuc_2025_08.csv","PARNA","PARNA_SERRA_DA_CUTIA"
"PARQUE NATURAL MUNICIPAL CANINDÉ","Brazil","Rondônia","COLORADO DO OESTE (RO)","Proteção Integral",4.786,"cnuc_2025_08.csv","PNM","PNM_CANINDE"
"PARQUE NATURAL MUNICIPAL RAIMUNDO PARAGUASSU DE OLIVEIRA","Brazil","Rondônia","PORTO VELHO (RO)","Proteção Integral",4.602,"cnuc_2025_08.csv","PNM","PNM_RAIMUNDO_PARAGUASSU_DE_OLIVEIRA"
"PARQUE ZOOBOTÂNICO DE ARIQUEMES","Brazil","Rondônia","ARIQUEMES (RO)","Uso Sustentável",4.909,"cnuc_2025_08.csv",NA,"PARQUE_ZOOBOTANICO_DE_ARIQUEMES"
"RESERVA BIOLÓGICA GUAPORÉ","Brazil","Rondônia","ALTA FLORESTA D'OESTE (RO) - SÃO FRANCISCO DO GUAPORÉ (RO) - SÃO MIGUEL DO GUAPORÉ (RO)","Proteção Integral",206,"cnuc_2025_08.csv","REBIO","REBIO_GUAPORE"
