"name","NumRecords","NumOuro","NumPrata","NumBronze","NumTaxons","NumSpecies","NumGenus","NumFamilies","NumLatao","NumNoMatch"
"EEC CARIJÓS",1,0,0,0,1,1,1,1,1,0
"FLONA TRÊS BARRAS",9,1,0,0,4,4,4,4,3,0
"PE ACARAI",10,0,2,3,5,5,5,5,0,0
"PE ARAUCÁRIAS",1,0,0,1,1,1,1,1,0,0
"PE RIO VERMELHO",1,0,0,0,1,1,1,1,1,0
"PE SERRA DO TABULEIRO",15,1,2,7,13,13,10,9,3,0
"PE SERRA FURADA",20,0,0,20,20,20,15,12,0,0
"PARNA SÃO JOAQUIM",11,1,0,2,9,9,8,7,6,0
"PNM CAIEIRA",4,0,0,0,4,4,4,3,4,0
"RPPN MORRO DAS ARANHAS",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RPPN PRIMA LUNA",3,0,0,3,3,3,3,2,0,0
"RPPN RIO DAS LONTRAS",2,0,0,2,2,2,2,2,0,0
