"name","NumRecords","NumOuro","NumPrata","NumBronze","NumTaxons","NumSpecies","NumGenus","NumFamilies","NumLatao","NumNoMatch"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO AVES",0,0,0,0,NA,NA,NA,NA,NA,NA
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO JAVARI BURITI",0,0,0,0,NA,NA,NA,NA,NA,NA
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO JAVARÍ-BURITI",66,14,1,37,56,50,44,32,4,1
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO PROJETO DINÂMICA BIOLÓGICA DE FRAGMENTOS FLORESTAIS",7,0,0,3,4,4,4,2,1,3
"ESTAÇÃO ECOLÓGICA ALTO MAUÉS",0,0,0,0,NA,NA,NA,NA,NA,NA
"ESTAÇÃO ECOLÓGICA JUAMI-JAPURÁ",119,35,2,8,80,75,61,37,35,0
"ESTAÇÃO ECOLÓGICA JUTAÍ-SOLIMÕES",152,38,24,24,105,100,77,38,19,0
"FLORESTA ESTADUAL APUÍ",0,0,0,0,NA,NA,NA,NA,NA,NA
"FLORESTA ESTADUAL ARIPUANÃ",0,0,0,0,NA,NA,NA,NA,NA,NA
"FLORESTA ESTADUAL CANUTAMA",330,28,3,110,144,140,93,45,3,0
"FLORESTA ESTADUAL MANICORÉ",0,0,0,0,NA,NA,NA,NA,NA,NA
"FLORESTA ESTADUAL MAÚES",149,0,0,63,106,101,79,37,43,0
"FLORESTA ESTADUAL RIO URUBU",0,0,0,0,NA,NA,NA,NA,NA,NA
"FLORESTA ESTADUAL SUCUNDURI",0,0,0,0,NA,NA,NA,NA,NA,NA
"FLORESTA ESTADUAL TAPAUÁ",310,18,4,101,128,125,80,50,5,0
"FLORESTA NACIONAL AMAZONAS",0,0,0,0,NA,NA,NA,NA,NA,NA
"FLORESTA NACIONAL ARIPUANÃ",0,0,0,0,NA,NA,NA,NA,NA,NA
"FLORESTA NACIONAL BALATA-TUFARI",267,19,1,17,159,149,107,60,122,8
"FLORESTA NACIONAL HUMAITÁ",355,23,31,142,226,219,128,64,30,31
"FLORESTA NACIONAL IQUIRI",158,16,3,22,85,80,51,34,44,0
"FLORESTA NACIONAL JATUARANA",0,0,0,0,NA,NA,NA,NA,NA,NA
