"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE NATURAL MUNICIPAL CAIEIRA","Angiosperms","Combretaceae","Laguncularia","racemosa","(L.) C.F.Gaertn.","COMBRETACEAE Laguncularia racemosa (L.) C.F.Gaertn.","-1852869863","x","NABU|naturgucker",,,"Native","2015",,,"Latão","Ouro",,,"Joinville Parque Natural Municipal da Caieira"
"PARQUE NATURAL MUNICIPAL CAIEIRA","Angiosperms","Combretaceae","Terminalia","catappa","L.","COMBRETACEAE Terminalia catappa L.","1069387754","x","NABU|naturgucker",,,"Naturalized","2015",,,"Latão","Ouro",,,"Joinville Parque Natural Municipal da Caieira"
"PARQUE NATURAL MUNICIPAL CAIEIRA","Angiosperms","Myrtaceae","Psidium","guajava","L.","MYRTACEAE Psidium guajava L.","-502188031","x","NABU|naturgucker",,,"Naturalized","2015",,,"Latão","Ouro",,,"Joinville Parque Natural Municipal da Caieira"
"PARQUE NATURAL MUNICIPAL CAIEIRA","Angiosperms","Zingiberaceae","Hedychium","coronarium","J.Koenig","ZINGIBERACEAE Hedychium coronarium J.Koenig","-282218751","x","NABU|naturgucker",,,"Naturalized","2015",,,"Latão","Ouro",,,"Joinville Parque Natural Municipal da Caieira"
