"name","country","stateProvince","municipality","protectionCategory","UC_ID","source","type","slug"
"ÁREA DE PROTEÇÃO AMBIENTAL LITORAL SUL","Brazil","Sergipe","ESTÂNCIA (SE) - INDIAROBA (SE) - ITAPORANGA D'AJUDA (SE) - SANTA LUZIA DO ITANHY (SE)","Uso Sustentável",793,"cnuc_2025_08.csv","APA","APA_LITORAL_SUL"
"ÁREA DE PROTEÇÃO AMBIENTAL MORRO DO URUBU","Brazil","Sergipe","ARACAJU (SE)","Uso Sustentável",794,"cnuc_2025_08.csv","APA","APA_MORRO_DO_URUBU"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MANGUEZAIS","Brazil","Sergipe","BARRA DOS COQUEIROS (SE)","Uso Sustentável",4.948,"cnuc_2025_08.csv","ARIE","ARIE_MANGUEZAIS"
"FLORESTA NACIONAL IBURA","Brazil","Sergipe","LARANJEIRAS (SE) - NOSSA SENHORA DO SOCORRO (SE)","Uso Sustentável",269,"cnuc_2025_08.csv","FLONA","FLONA_IBURA"
"MONUMENTO NATURAL GROTA DO ANGICO","Brazil","Sergipe","CANINDÉ DE SÃO FRANCISCO (SE) - POÇO REDONDO (SE)","Proteção Integral",1.603,"cnuc_2025_08.csv","MONA","MONA_GROTA_DO_ANGICO"
"PARQUE ESTADUAL MARITUBA","Brazil","Sergipe","BARRA DOS COQUEIROS (SE) - SANTO AMARO DAS BROTAS (SE)","Proteção Integral",4.118,"cnuc_2025_08.csv","PE","PE_MARITUBA"
"PARQUE NACIONAL SERRA DE ITABAIANA","Brazil","Sergipe","AREIA BRANCA (SE) - CAMPO DO BRITO (SE) - ITABAIANA (SE) - ITAPORANGA D'AJUDA (SE) - LARANJEIRAS (SE) - MALHADOR (SE)","Proteção Integral",147,"cnuc_2025_08.csv","PARNA","PARNA_SERRA_DE_ITABAIANA"
"PARQUE NATURAL MUNICIPAL POXIM","Brazil","Sergipe","ARACAJU (SE)","Proteção Integral",3.459,"cnuc_2025_08.csv","PNM","PNM_POXIM"
"REFÚGIO DE VIDA SILVESTRE MATA DO JUNCO","Brazil","Sergipe","CAPELA (SE)","Proteção Integral",1.604,"cnuc_2025_08.csv","REVIS","REVIS_MATA_DO_JUNCO"
"RESERVA BIOLÓGICA SANTA ISABEL","Brazil","Sergipe","PACATUBA (SE) - PIRAMBU (SE)","Proteção Integral",199,"cnuc_2025_08.csv","REBIO","REBIO_SANTA_ISABEL"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CAJU","Brazil","Sergipe","ITAPORANGA D'AJUDA (SE)","Uso Sustentável",2.095,"cnuc_2025_08.csv","RPPN","RPPN_CAJU"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CAMPOS NOVOS","Brazil","Sergipe","CARIRA (SE)","Uso Sustentável",3.091,"cnuc_2025_08.csv","RPPN","RPPN_CAMPOS_NOVOS"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DONA BENTA E SEU CABOCLO","Brazil","Sergipe","PIRAMBU (SE)","Uso Sustentável",2.097,"cnuc_2025_08.csv","RPPN","RPPN_DONA_BENTA_E_SEU_CABOCLO"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FONTE DA BICA","Brazil","Sergipe","AREIA BRANCA (SE)","Uso Sustentável",1.077,"cnuc_2025_08.csv","RPPN","RPPN_FONTE_DA_BICA"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LAGOA ENCANTADA DO MORRO DA LUCRÉCIA","Brazil","Sergipe","PIRAMBU (SE)","Uso Sustentável",2.74,"cnuc_2025_08.csv","RPPN","RPPN_LAGOA_ENCANTADA_DO_MORRO_DA_LUCRECIA"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA 01 (BOM JARDIM) E MATA 02","Brazil","Sergipe","SANTA LUZIA DO ITANHY (SE)","Uso Sustentável",2.134,"cnuc_2025_08.csv","RPPN","RPPN_MATA_01_(BOM_JARDIM)_E_MATA_02"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA 01 E 02 (MARINHEIRO) E MATA 03 (PEDRA DA URÇA)","Brazil","Sergipe","SANTA LUZIA DO ITANHY (SE)","Uso Sustentável",2.135,"cnuc_2025_08.csv","RPPN","RPPN_MATA_01_E_02_(MARINHEIRO)_E_MATA_03_(PEDRA_DA_URCA)"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PIRANGY","Brazil","Sergipe","ITABAIANINHA (SE)","Uso Sustentável",3.092,"cnuc_2025_08.csv","RPPN","RPPN_PIRANGY"
