"family","scientificName","scientificNameAuthorship","x"
"Melastomataceae","Acisanthera quadrata","Pers.",29
"Graphidaceae","Diorygma hieroglyphicum","(Pers.) Staiger & Kalb",28
"Oocystaceae","Oocystaceae","Bohlin",28
"Graphidaceae","Fissurina dumastii","Fée",28
"Pucciniaceae","Puccinia insueta","G. Winter",28
"Opegraphaceae","Opegrapha cylindrica","Raddi",28
"Graphidaceae","Chapsa chionostoma","(Nyl.) Rivas Plata & Mangold",27
"Polyporaceae","Trametes hydnoides","(Sw.) Fr.",27
"Melastomataceae","Pleroma heteromalla","(D.Don) Cogn.",26
"Malvaceae","Spirotheca rosea","(Seem.) P.E.Gibbs & W.S.Alverson",26
"Pucciniaceae","Puccinia substriata","Ellis & Barthol.",26
"Capnodiaceae","Meliola","Fr.",26
"Orobanchaceae","Buchnera virgata","Kunth",26
"Arthoniaceae","Arthonia bessalis","Nyl.",26
"Lecanoraceae","Lecanora achroa","Nyl.",26
"Graphidaceae","Phaeographis punctiformis","(Eschw.) Müll. Arg.",25
"Graphidaceae","Ocellularia crocea","(Kremp.) Overeem & D. Overeem",25
"Amaranthaceae","Alternanthera flavogrisea","(Urb.) Urb.",25
"Pucciniaceae","Puccinia eupatorii","Dietel",25
"Polyporaceae","Polyporus lignosus","Klotzsch",25
"Arthoniaceae","Sagenidiopsis undulatum","(Fée) Egea, Tehler, Torrente & Sipman",24
"Malmideaceae","Malmidea piperis","(Spreng.) Kalb, Rivas Plata & Lumbsch",24
"Salicaceae","Piparea commersoniana","Cambess.",24
"Chlorococcaceae","Chlorococcaceae","F.F.Blackman & Tansley",24
"Fabaceae","Bauhinia depauperata","Glaz.",24
"Asteraceae","Eupatorium inulifolium","Kunth",24
"Didymiaceae","Didymium dubium","Rostaf.",24
"Pucciniaceae","Puccinia arechavaletae","Speg.",24
"Connaraceae","Rourea fluminensis","(Gardner) Jongkind",23
"Asteraceae","Mikania scandens","(L.) Willd.",23
"Malmideaceae","Malmidea atlantica","(M. Cáceres & Lücking) M. Cáceres & Kalb",23
"Pucciniaceae","Puccinia levis","(Sacc. & Bizz.) Magnus",23
"Fabaceae","Vigna antillana","(Urb.) Fawc. & Rendle",23
"Pertusariaceae","Pertusaria wulfenioides","B. de Lesd.",23
"Polyporaceae","Polyporus caperatus","Berk.",23
"Caliciaceae","Gassicurtia coccinea","Fée",23
"Lecanoraceae","Lecanora leprosa","Fée ",23
"Melastomataceae","Acisanthera quadrata","Juss. ex Poir.",23
"Asteraceae","Gnaphalium cheiranthifolium","Lam.",23
"Graphidaceae","Graphis submarginata","Lücking",23
"Asteraceae","Vernonia rubriramea","Mart. ex DC.",23
"Graphidaceae","Graphis conferta","Zenker",23
"Graphidaceae","Phaeographis scalpturata","(Ach.) Staiger",22
"Hymenochaetaceae","Phellinus rimosus","(Berk.) Pilát",22
"Blechnaceae","Blechnum obtusifolium","(C.Presl ex Christ) Ettingsh.",22
"Pteridaceae","Paraceterach","(F.Muell.) Copel.",22
"Malmideaceae","Malmidea psychotrioides","(Kalb & Lücking) Kalb, Rivas Plata & Lumbsch",22
"Polyporaceae","Polyporus occidentalis","(Murrill) Saccardo & Trotter",22
"Graphidaceae","Acanthothecis abaphoides","(Nyl.) Staiger & Kalb",22
"Polyporaceae","Trametes rigida","Berk. & Mont.",22
"Scotinosphaeraceae","Scotinosphaeraceae","P. Škaloud, T. Kalina, K. Nemjová, O. De Clerck & F. Leliaert",22
"Trypetheliaceae","Trypethelium aeneum","(Eschw.) Zahlbr.",21
"Caliciaceae","Dirinaria picta","(Sw.) Clem. & Shear",21
"Pucciniaceae","Puccinia dolosa","Arthur & Fromme",21
"Graphidaceae","Graphis paralleloides","M. Cáceres & Lücking",21
"Polyporaceae","Polyporus licnoides","Mont.",21
"Asteraceae","Trixis","Sw.",21
"Trypetheliaceae","Trypethelium tropicum","(Ach.) Müll. Arg.",20
"Poaceae","Lasiacis maculata","(Aubl.) Urb.",20
"Fabaceae","Mimosa dolens subsp. acerba","(Benth.) Barneby",20
"Pteridophyta","Gastoniella chaerophylla","(Desv.) Li BIng Zhang & Liang Zhang",20
"Pucciniaceae","Puccinia hydrocotyles","(Mont.) Cooke",20
"Polyporaceae","Trametes cubensis","(Mont.) Sacc.",20
"Graphidaceae","Graphis chrysocarpa","(Raddi) Spreng.",20
"Fabaceae","Sigmoidotropis antillana","(Urb.) Fawc. & Rendle",20
"Cyatheaceae","Alsophila rubiginosa","Brause",20
"Elsinoaceae","Sphaceloma","de Bary",20
"Graphidaceae","Graphis handelii","Zahlbr.",20
"Melastomataceae","Pleroma martialis","(Cham.) Cogn",19
"Graphidaceae","Platygramme caesiopruinosa","(Fée) Fée",19
"Thuidiaceae","Thuidium subdelicatulum","(Hampe) Broth.",19
"Piperaceae","Piper corcovadense","(Miq.) C.DC.",19
"Arthoniaceae","Arthonia complanata","Fée",19
"Porinaceae","Porina mastoidea","Fée",19
"Schizophyllaceae","Schizophyllum commune","Fr.",19
"Pucciniaceae","Puccinia heterospora","Katajev",19
"Takakiaceae","Takakiaceae","M. Stech & W. Frey",19
"Trebouxiaceae","Trebouxia","Puymaly",19
"Porinaceae","Porina tetracerae","(Ach.) Müll. Arg.",18
"Melastomataceae","Microlicia cataphracta","(DC.) Versiane & R.Romero",18
"Graphidaceae","Platythecium grammitis","(Fée) Staiger",18
"Graphidaceae","Ocellularia praestans","(Müll. Arg.) Hale",18
"Asteraceae","Ageratina dendroides","(Spreng.) R.M.King & H.Rob.",18
"Asteraceae","Raulinoreitzia dendroides","(Spreng.) R.M.King & H.Rob.",18
"Sclerotiniaceae","Encoelia lobata","(Starbäck) Dennis",18
"Graphidaceae","Chapsa discoides","(Stirt.) Lücking",18
"Cyatheaceae","Cyathea armata","(Sw.) Domin",18
"Asteraceae","Gyptis pinnatifida","Cass.",18
"Graphidaceae","Graphis furcata","Fée",18
"Fabaceae","Bauhinia aculeata","L.",18
"Ehretiaceae","Cordia glabra","L.",18
"Cyatheaceae","Cyathea leucolepis","Mett.",18
"Polyporaceae","Fomes marmoratus","(Berk. & M.A. Curtis) Cooke",17
"Pyrenulaceae","Pyrenula nitidula","(Bres.) R.C. Harris",17
"Melastomataceae","Microlicia laniflora","(D.Don) Cogn.",17
"Melastomataceae","Pleroma granulosa","(Desr.) Cogn.",17
"Graphidaceae","Phaeographis haematites","(Fée) Müll. Arg.",17
"Hymenochaetaceae","Hymenochaete luteobadia","(Fr.:Fr.) Höhn. & Litsch.",17
"Asteraceae","Aspilia serrulata","Baker",17
"Polyporaceae","Polyporus zonalis","Berk.",17
"Asteraceae","Vernonia geminata","Less.",17
"Opegraphaceae","Opegrapha subdictyospora","M. Cáceres, E.L. Lima & Aptroot",17
"Orthotrichaceae","Schlotheimia araucarieti","Müll. Hal.",17
"Graphidaceae","Phaeographis aff. neotricosa","Redinger",17
"Poaceae","Paspalum millegranum","Schrad.",17
"Melastomataceae","Pleroma stenocarpa","(DC.) Cogn.",16
"Arthoniaceae","Herpothallon rubrocinctum","(Ehrenb.) Aptroot, Lücking & G. Thor",16
"Pertusariaceae","Pertusaria tetrathalamia","(Fée) Nyl.",16
"Trypetheliaceae","Polymeridium albocinereum","(Kremp.) R.C. Harris",16
"Polyporaceae","Pycnoporus sanguineus","(L. ex Fr. & Hök) Murrill",16
"Hypericaceae","Vismia baccifera","(L.) Triana & Planch.",16
"Pyrenulaceae","Pyrenula cruenta","(Mont.) Vain.",16
"Malmideaceae","Malmidea fuscella","(Müll. Arg.) Kalb & Lücking",16
"Graphidaceae","Pseudochapsa dilatata","(Müll. Arg.) Parnmen, Lücking & Lumbsch",16
"Graphidaceae","Chapsa elabens","(Müll. Arg.) Rivas Plata & Mangold",16
"Bartramiaceae","Philonotis gardneri","(Müll. Hal.) A. Jaeger",16
"Roccellaceae","Enterographa subserialis","(Nyl.) Redinger",16
"Arthoniaceae","Arthothelium chiodectoides","(Nyl.) Zahlbr.",16
"Graphidaceae","Thalloloma rhodastrum","(Redinger) Staiger",16
"Trichiaceae","Hemitrichia serpula","(Scop.) Rostaf.",16
"Graphidaceae","Graphis angustata","Eschw.",16
"Asteraceae","Vernonia densiflora","Gardner",16
"Pucciniaceae","Puccinia solani-tristis","Henn.",16
"Rubiaceae","Spermacoce hispida","L.",16
"Heliconiaceae","Heliconia acuminata subsp. occidentalis","L.Andersson",16
"Graphidaceae","Fissurina radiata","Mont.",16
"Arthoniaceae","Arthonia aff. bessalis","Nyl.",16
"Ganodermataceae","Ganoderma","P. Karst.",16
"Stemonitaceae","Stemonitis fusca","Röth.",16
"Asteraceae","Grazielia coriaceum","Scheele",16
"Graphidaceae","Ocellularia cavata","(Ach.) Müll. Arg.",15
"Melastomataceae","Microlicia cataphracta","(DC.) Versiane & R. Romero",15
"Graphidaceae","Leucodecton occultum","(Eschw.) Frisch ",15
"Pyrenulaceae","Pyrenula astroidea","(Fée) R.C. Harris",15
"Polyporaceae","Fomes australis","(Fr.) Cooke",15
"Polyporaceae","Fomes","(Fr.) Fr.",15
"Dryopteridaceae","Elaphoglossum auricomum","(Kunze) T.Moore",15
"Ganodermataceae","Amauroderma schomburgkii","(Mont. & Berk.) Torrend",15
"Neckeraceae","Porothamnium leucocaulon","(Müll. Hal.) M. Fleisch.",15
"Nyctaginaceae","Varronia noxia","(Netto)",15
"Graphidaceae","Chapsa alborosella","(Nyl.) Frisch",15
"Pyrenulaceae","Pyrenula confinis","(Nyl.) R.C. Harris",15
"Ganodermataceae","Ganoderma applanatum","(Pers.) Pat.",15
"Asteraceae","Lepidaploa sericea","(Rich.) H.Rob.",15
"Meripilaceae","Rigidoporus microporus","(Sw.:Fr.) Overeem",15
"Bignoniaceae","Adenocalymma ternatum","(Vell.) Corr.Mello ex Bureau & K.Schum.",15
"Graphidaceae","Graphis lineola","Ach.",15
"Asteraceae","Leptostelma maxima","D.Don",15
"Clavicipitaceae","Claviceps paspali","F. Stevens & J.G. Hall",15
"Leucobryaceae","Pilopogon subjulaceus","Hampe",15
"Heliotropiaceae","Euploca filiforme","Lehm.",15
"Graphidaceae","Phaeographis rubrostroma","M. Cáceres & Lücking",15
"Porinaceae","Porina africana","Müll. Arg.",15
"Lecanoraceae","Lecanora tropica","Zahlbr. ",15
"Polyporaceae","Datronia caperata","(Berk.) Ryvarden",14
"Lygodiaceae","Lygodium polymorphum","(Cav.) Kunth",14
"Pyrenulaceae","Pyrenula septicollaris","(Eschw.) R.C. Harris",14
"Polyporaceae","Lenzites striata","(Fr.) Fr.",14
"Leucobryaceae","Campylopus controversus","(Hampe) A. Jaeger",14
"Polypodiaceae","Campyloneurum major","(Hicken) Lellinger",14
"Melastomataceae","Miconia hirta","(L.) D.Don",14
"Polyporaceae","Pycnoporus sanguineus","(L.) Murrill",14
"Asteraceae","Crepis capillaris","(L.) Wallr.",14
"Graphidaceae","Ocellularia papillata","(Leight.) Zahlbr.",14
"Trypetheliaceae","Laurera megasperma","(Mont.) Riddle",14
"Letrouitiaceae","Letrouitia domingensis","(Pers.) Hafellner & Bellem.",14
"Pteridophyta","Cyathea armata","(Sw.) Domin",14
"Blechnaceae","Blechnum tabulare","(Thunb.) Kuhn",14
"Graphidaceae","Phaeographis nylanderi","(Vain.) Zahlbr.",14
"Clastodermataceae","Clastoderma debaryanum","A.Blytt",14
"Fabaceae","Campsiandra comosa","Benth.",14
"Polyporaceae","Hexagonia papyracea","Berk.",14
"Bruchiaceae","Trematodon brevifolius","Broth. ex Müll. Hal.",14
"Pyrenulaceae","Pyrenula cerina","Eschw.",14
"Opegraphaceae","Sclerophyton elegans","Eschw.",14
"Verbenaceae","Lippia glazioviana","Loes.",14
"Graphidaceae","Fissurina pseudostromatica","Lücking & Rivas Plata",14
"Pteridophyta","Marattia laevis","Sm.",14
"Graphidaceae","Phaeographis caesiodisca","Staiger",14
"Nyctaginaceae","Neea parimensis","Steyerm.",14
"Mycoporaceae","Mycoporum compositum","(A. Massal.) R.C. Harris",13
"Pyrenulaceae","Pyrenula aspistea","(Afzel. ex Ach.) Ach.",13
"Polyporaceae","Fomes inflexibilis","(Berk.) Cooke",13
"Trypetheliaceae","Astrothelium cinnamomeum","(Eschw.) Müll. Arg. ",13
"Graphidaceae","Chapsa dissuta","(Hale) Mangold",13
"Leucobryaceae","Pilopogon gracilis","(Hook.) Brid.",13
"Bartramiaceae","Philonotis glaucescens","(Hornsch.) Broth.",13
"Nyctaginaceae","Varronia obtusata","(Jacq.) Little",13
"Myrtaceae","Myrceugenia lanceolata","(Juss. ex J. St.-Hil.) Kausel",13
"MYRTACEAE","Myrceugenia lanceolata","(Juss. ex J. St.-Hil.) Kausel",13
"Cladoniaceae","Cladonia fimbriata","(L.) Fr.",13
"Thelypteridaceae","Christella parasitica","(L.) H.Lév.",13
"Pottiaceae","Hyophila arborea","(Mitt.) A. Jaeger",13
"Neckeraceae","Porothamnium leucocaulon","(Müll.Hal.) M.Fleisch.",13
"Trypetheliaceae","Polymeridium catapastum","(Nyl.) R.C. Harris ",13
"Glomerellaceae","Colletotrichum gloeosporioides","(Penz.) Penz. & Sacc.",13
"Melastomataceae","Pleroma estrellensis","(Raddi) Cogn.",13
"Melastomataceae","Pleroma fothergillae","(Schrank & Mart. ex DC.) Cogn.",13
"Polyporaceae","Polyporus proditor","(Speg.) Bres.",13
"Polyporaceae","Trametes elegans","(Spreng.:Fr.) Fr.",13
"Caliciaceae","Hafellia demutans","(Zahlbr.) Pusswald",13
"Acanthaceae","Justicia aequalis","Benoist",13
"Melastomataceae","Microlicia pulcherrima","DC.",13
"Polyporaceae","Lentinus","Fr.",13
"Aspleniaceae","Asplenium × sulcatum","Lam.",13
"Pottiaceae","Trichostomum leptocylindricum","Müll. Hal.",13
