"name","country","stateProvince","municipality","protectionCategory","UC_ID","source","type","slug"
"ÁREA DE PROTECAO AMBIENTAL XERIUINI","Brazil","Roraima","CARACARAÍ (RR)","Uso Sustentável",2.976,"cnuc_2025_08.csv",NA,"AREA_DE_PROTECAO_AMBIENTAL_XERIUINI"
"ESTAÇÃO ECOLÓGICA MARACÁ","Brazil","Roraima","ALTO ALEGRE (RR) - AMAJARI (RR)","Proteção Integral",57,"cnuc_2025_08.csv","EEC","EEC_MARACA"
"ESTAÇÃO ECOLÓGICA NIQUIÁ","Brazil","Roraima","CARACARAÍ (RR)","Proteção Integral",60,"cnuc_2025_08.csv","EEC","EEC_NIQUIA"
"FLORESTA NACIONAL ANAUÁ","Brazil","Roraima","RORAINÓPOLIS (RR)","Uso Sustentável",84,"cnuc_2025_08.csv","FLONA","FLONA_ANAUA"
"FLORESTA NACIONAL PARIMA","Brazil","Roraima","AMAJARI (RR)","Uso Sustentável",4.617,"cnuc_2025_08.csv","FLONA","FLONA_PARIMA"
"FLORESTA NACIONAL RORAIMA","Brazil","Roraima","ALTO ALEGRE (RR) - MUCAJAÍ (RR)","Uso Sustentável",106,"cnuc_2025_08.csv","FLONA","FLONA_RORAIMA"
"PARQUE ESTADUAL NASCENTES","Brazil","Roraima","RORAINÓPOLIS (RR)","Proteção Integral",4.382,"cnuc_2025_08.csv","PE","PE_NASCENTES"
"PARQUE NACIONAL MONTE RORAIMA","Brazil","Roraima","UIRAMUTÃ (RR)","Proteção Integral",174,"cnuc_2025_08.csv","PARNA","PARNA_MONTE_RORAIMA"
"PARQUE NACIONAL VIRUÁ","Brazil","Roraima","CARACARAÍ (RR) - RORAINÓPOLIS (RR)","Proteção Integral",179,"cnuc_2025_08.csv","PARNA","PARNA_VIRUA"
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL CAMPINA","Brazil","Roraima","RORAINÓPOLIS (RR)","Uso Sustentável",4.914,"cnuc_2025_08.csv","RDS","RDS_CAMPINA"
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ITAPARÁ - BOIAÇU","Brazil","Roraima","RORAINÓPOLIS (RR)","Uso Sustentável",4.385,"cnuc_2025_08.csv","RDS","RDS_ITAPARA_-_BOIACU"
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL XERIUINI","Brazil","Roraima","CARACARAÍ (RR)","Uso Sustentável",4.398,"cnuc_2025_08.csv","RDS","RDS_XERIUINI"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA MANI","Brazil","Roraima","BOA VISTA (RR)","Uso Sustentável",1.129,"cnuc_2025_08.csv","RPPN","RPPN_RESERVA_MANI"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SESC TEPEQUÉM","Brazil","Roraima","BOA VISTA (RR)","Uso Sustentável",1.158,"cnuc_2025_08.csv","RPPN","RPPN_SESC_TEPEQUEM"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TUPAQUIRI","Brazil","Roraima","BOA VISTA (RR)","Uso Sustentável",1.127,"cnuc_2025_08.csv","RPPN","RPPN_TUPAQUIRI"
