"name","NumRecords","NumOuro","NumPrata","NumBronze","NumTaxons","NumSpecies","NumGenus","NumFamilies","NumLatao","NumNoMatch"
"ÁREA DE PROTECAO AMBIENTAL XERIUINI",0,0,0,0,NA,NA,NA,NA,NA,NA
"ESTAÇÃO ECOLÓGICA MARACÁ",67,8,1,2,53,50,47,27,42,0
"ESTAÇÃO ECOLÓGICA NIQUIÁ",6,0,0,2,6,6,6,6,4,0
"FLORESTA NACIONAL ANAUÁ",0,0,0,0,NA,NA,NA,NA,NA,NA
"FLORESTA NACIONAL PARIMA",0,0,0,0,NA,NA,NA,NA,NA,NA
"FLORESTA NACIONAL RORAIMA",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE ESTADUAL NASCENTES",1,1,0,0,1,1,1,1,0,0
"PARQUE NACIONAL MONTE RORAIMA",1,0,0,1,1,1,1,1,0,0
"PARQUE NACIONAL VIRUÁ",27,6,0,0,22,21,19,11,16,0
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL CAMPINA",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ITAPARÁ - BOIAÇU",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL XERIUINI",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA MANI",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SESC TEPEQUÉM",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TUPAQUIRI",0,0,0,0,NA,NA,NA,NA,NA,NA
