"name","NumRecords","NumOuro","NumPrata","NumBronze","NumTaxons","NumSpecies","NumGenus","NumFamilies","NumLatao","NumNoMatch"
"EEC CAIUÁ",2,0,0,0,2,2,2,2,2,0
"FE PALMITO",5,0,0,0,4,4,4,4,4,0
"FLONA IRATI",60,3,0,9,28,28,23,16,16,0
"PE CAMPINHOS",3,0,1,0,2,2,2,2,1,0
"PE CERRADO",24,5,0,1,20,18,17,9,14,0
"PE GUARTELÁ",25,4,7,2,18,18,11,6,5,0
"PE LAGO AZUL",2,1,0,1,2,2,2,2,0,0
"PE LAURÁCEAS",8,1,0,1,7,7,7,7,5,0
"PE MATA DO GODOY",6,0,0,3,6,6,6,4,3,0
"PE MONGE",2,1,0,0,2,2,2,2,1,0
"PE PALMAS",10,4,0,1,7,7,7,6,2,0
"PE PICO PARANÁ",1,0,0,1,1,1,1,1,0,0
"PE VILA RICA DO ESPÍRITO SANTO",10,1,0,1,8,8,8,8,6,0
"PE VILA VELHA",4,1,0,0,3,3,3,3,2,0
"PARNA IGUAÇU",162,9,0,4,77,72,65,38,64,0
"PARNA SAINT-HILAIRE/LANGE",1,0,0,1,1,1,1,1,0,0
"PARNA SUPERAGUI",1,0,0,1,1,1,1,1,0,0
