"family","scientificName","scientificNameAuthorship","x"
"Trichiaceae","Hemitrichia serpula","(Scop.) Rostaf.",233
"Scenedesmaceae","Scenedesmaceae","Oltmanns",230
"Trichiaceae","Arcyria cinerea","(Bull.) Pers.",210
"Strigulaceae","Strigula elegans","(Fée) Müll. Arg.",199
"Trichiaceae","Hemitrichia calyculata","(Speg.) M.L.Farr.",195
"Polyporaceae","Coriolopsis caperata","(Berk.) Murrill",183
"Hymenochaetaceae","Phellinus rimosus","(Berk.) Pilát",183
"Coccomyxaceae","Coccomyxaceae","Smith",170
"Lycopodiopsidaceae","Brasilodendron","W.G. Chaloner, K.U. Leistikow & A. Hill",146
"Trichiaceae","Arcyria denudata","(L.) Wettst.",135
"Glomerellaceae","Colletotrichum gloeosporioides","(Penz.) Penz. & Sacc.",135
"Polyporaceae","Pycnoporus sanguineus","(L.) Murrill",128
"Hymenochaetaceae","Phellinus gilvus","(Schwein.) Pat. ",121
"Polyporaceae","Hexagonia hydnoides","(Sw.) M. Fidalgo",121
"Fabaceae","Bauhinia pentandra","(Bong.) Vogel ex Steud.",107
"Hymenochaetaceae","Fuscoporia gilva","(Schwein.) T. Wagner & M. Fisch.",107
"Geastraceae","Geastrum schweinitzii","(Berk. & M.A. Curtis) Zeller.",103
"Pertusariaceae","Pertusaria flavens","Nyl.",102
"Haematommataceae","Haematomma persoonii","(Fée) A. Massal.",99
"Polyporaceae","Flabellophora obovata","(Jungh.) Corner",99
"Opegraphaceae","Opegrapha","Ach.",93
"Roccellaceae","Mazosia melanophthalma","(Müll. Arg.) R. Sant.",89
"Porinaceae","Porina epiphylla","Fée",89
"Schizophyllaceae","Schizophyllum commune","Fr.",85
"Elsinoaceae","Elsinoã« fawcettii","Bitanc. & Jenkins",83
"Chlorococcaceae","Chlorococcaceae","F.F.Blackman & Tansley",83
"Elsinoaceae","Elsinoã« australis","Bitanc. & Jenkins",82
"Meliolaceae","Meliola mangiferae","Earle",81
"Meripilaceae","Rigidoporus lineatus","(Pers.) Ryvarden",78
"Lecanoraceae","Lecanora tropica","Zahlbr.",78
"Ceratiomyxaceae","Ceratiomyxa fruticulosa","(O.F.Müll.) T.Macbr.",75
"Strigulaceae","Strigula nemathora","Mont.",75
"Gloeophyllaceae","Gloeophyllum striatum","(Fr.) Murrill",74
"Polyporaceae","Polyporus leprieurii","Mont.",72
"Lepidoziaceae","Arachniopsis coactilis","Spruce",72
"Lecanoraceae","Ramboldia russula","(Ach.) Kalb, Lumbsch & Elix",69
"Sphagnaceae","Sphagnum balticum","(Russow) C.E.O. Jensen",69
"Polyporaceae","Trichaptum durum","(Jungh.) Corner",67
"Pteridaceae","Doryopteris pedata","(L.) Fée",66
"Trichiaceae","Perichaena depressa","Lib.",66
"Polyporaceae","Polyporus dictyopus","Mont.",65
"Cribrariaceae","Cribraria violacea","Rex",65
