"name","NumRecords","NumOuro","NumPrata","NumBronze","NumTaxons","NumSpecies","NumGenus","NumFamilies","NumLatao","NumNoMatch"
"APA BACIA DO CÓRREGO CEROULA - APA DO CEROULA",983,76,224,140,593,580,326,102,153,8
"APA BACIA DO RIO IGUATEMI",36,4,3,2,11,11,11,8,2,0
"APA BAÍA NEGRA",459,38,7,109,247,231,168,66,93,3
"APA ESTRADA PARQUE DE PIRAPUTANGA",965,126,35,157,377,358,231,94,59,79
"APA MANANCIAIS DO CÓRREGO GUARIROBA - APA DO GUARIROBA",730,64,39,287,446,439,263,90,56,3
"APA NASCENTE DO RIO SUCURIÚ",3,0,0,1,1,1,1,1,0,2
"MONA GRUTA DO LAGO AZUL",2,0,0,0,2,2,2,1,2,0
"MONA MUNICIPAL SERRA DO BOM JARDIM",226,30,33,12,152,145,115,51,77,0
"MONA MUNICIPAL SERRA DO BOM SUCESSO",36,3,0,1,19,18,18,16,15,0
"PE MATAS DO SEGREDO",11,1,0,4,10,10,10,9,5,0
"PE NASCENTES DO RIO TAQUARI",2201,61,140,451,835,814,404,128,183,448
"PE PANTANAL DO RIO NEGRO",488,18,35,203,281,267,178,79,25,44
"PE PROSA",281,26,8,82,140,136,106,45,24,25
"PE VÁRZEAS DO RIO IVINHEMA",3386,83,101,374,885,807,408,131,327,677
"PARNA SERRA DA BODOQUENA",3122,135,252,347,1015,978,491,130,281,222
"PNM CÓRREGO CUMANDAÍ",5,0,0,0,5,5,4,3,5,0
"PNM LAGE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PNM NAVIRAÍ",234,15,20,64,129,128,103,59,30,1
"PNM PARAGEM",19,0,0,1,6,3,3,5,5,0
"PNM PIRAPUTANGAS",30,0,0,4,14,12,11,10,10,0
"PNM POMBO",258,25,36,37,158,146,116,58,60,0
"PNM SALTO DO SUCURIÚ",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PNM TEMPLO DOS PILARES",271,7,47,99,188,185,141,65,35,0
"RPPN BURACO DAS ARARAS",3,2,0,1,3,3,2,2,0,0
"RPPN CABECEIRA DO PRATA",18,1,0,1,14,11,10,12,12,0
"RPPN CISALPINA",610,25,2,100,174,156,85,44,47,0
"RPPN ESTÂNCIA MIMOSA",1,1,0,0,1,1,1,1,0,0
"RPPN FAZENDA ACURIZAL E FAZENDA PENHA",242,15,21,59,118,113,93,47,23,3
"RPPN FAZENDA LAGOA",43,0,0,21,21,21,18,14,0,0
"RPPN FAZENDA RIO NEGRO",1,0,0,0,1,1,1,1,1,0
"RPPN RESERVA NATURAL ENGENHEIRO ELIEZER BATISTA",45,0,18,11,35,34,30,17,6,4
"RPPN RUMO AO OESTE",18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RPPN UFMS",401,31,12,92,165,147,101,52,30,9
