"name","NumRecords","NumOuro","NumPrata","NumBronze"
"MONUMENTO NATURAL ÁRVORES FOSSILIZADAS DO ESTADO DO TOCANTINS",0,0,0,0
"MONUMENTO NATURAL CANYONS E CORREDEIRAS DO RIO SONO",0,0,0,0
"PARQUE ESTADUAL CANTÃO",6,6,0,0
"PARQUE ESTADUAL JALAPÃO",18,18,0,0
"PARQUE ESTADUAL LAJEADO",23,23,0,0
"PARQUE NACIONAL ARAGUAIA",203,203,0,0
"PARQUE NATURAL MUNICIPAL PAPAGAIO GALEGO",0,0,0,0
"RESERVA EXTRATIVISTA EXTREMO NORTE DO ESTADO DO TOCANTINS",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ÁGUA BONITA",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BELA VISTA",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BICO DO JAVAÉS",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CANGUÇU",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CANTO DO OBRIENI",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CATEDRAL DO JALAPÃO",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CENTRO DE PESQUISA ESPELIOLÓGICO - AURORA NATURA",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA CALIXTO",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA MINNEHAHA",3,3,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GUAÍRA",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MORRO DO SEGREDO",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA SÍTIO ECOLÓGICO MONTE SANTO",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SONHADA",0,0,0,0
