"family","scientificName","scientificNameAuthorship","x"
"Frullaniaceae","Frullania","Raddi",88
"Sematophyllaceae","Trichosteleum papillosum","(Hornsch.) A. Jaeger",87
"Calymperaceae","Octoblepharum cocuiense","Mitt.",87
"Halimedaceae","Halimeda discoidea","Decaisne",86
"Marasmiaceae","Marasmius","Fr.",86
"Heliconiaceae","Heliconia acuminata occidentalis","L.Andersson",86
"Lejeuneaceae","Cyclolejeunea convexistipa","(Lehm. & Lindenb.) A.W.Evans",85
"Dictyotaceae","Lobophora variegata","(J.V.Lamouroux) Womersley ex E.C.Oliveira",83
"Polyporaceae","Polyporus dictyopus","Mont.",83
"Lejeuneaceae","Leptolejeunea elliptica","(Lehm. & Lindenb.) Besch.",82
"Hymenochaetaceae","Hymenochaete damicornis","(Link) Lév.",82
"Lejeuneaceae","Cheilolejeunea","(Spruce) Steph.",82
"Gomphillaceae","Spinomyces giganteae","Bat. & M.P. Herrera",82
"Elsinoaceae","Elsinoã« australis","Bitanc. & Jenkins",82
"Connaraceae","Connarus marlenei","Forero",82
"Dictyotaceae","Dictyopteris delicatula","J.V. Lamour.",82
"DICTYOTACEAE","Dictyopteris delicatula","J.V. Lamour.",82
"Elsinoaceae","Elsinoã« fawcettii","Bitanc. & Jenkins",81
"Lejeuneaceae","Ceratolejeunea coalita","(Ångstr.) Steph.",80
"Lejeuneaceae","Cheilolejeunea rigidula","(Nees ex Hont.) Schust.",80
"Lecythidaceae","Pachylecythis zabucaja","(Aubl.) O.M.Vargas & C.W.Dick",79
"Calymperaceae","Syrrhopodon rigidus","Hook. & Grev.",79
"Meripilaceae","Rigidoporus lineatus","(Pers.) Ryvarden",77
"Lejeuneaceae","Lejeunea","Lib.",77
"Leucobryaceae","Leucobryum martianum","(Hornsch.) Hampe ex Müll.Hal.",75
"Roccellaceae","Mazosia rotula","(Mont.) A. Massal.",75
"Polyporaceae","Coriolopsis polyzona","(Pers.) Ryvarden",75
"Leucobryaceae","Leucobryaceae","Schimp.",75
"Porinaceae","Porina rufula","(Kremp.) Vain.",74
"Lejeuneaceae","Schusterolejeunea inundata","(Spruce) Grolle",74
"Pylaisiadelphaceae","Isopterygium tenerum","(Sw.) Mitt.",74
"Roccellaceae","Mazosia phyllosema","(Nyl.) Zahlbr.",73
"Lecythidaceae","Chytroma prancei","(S.A.Mori) O.M.Vargas & C.W.Dick",73
"Leucobryaceae","Campylopus","Brid.",73
"Strigulaceae","Strigula elegans","(Fée) Müll. Arg.",72
"Sematophyllaceae","Acroporium pungens","(Hedw.) Broth.",72
"Lepidoziaceae","Bazzania pallidevirens","(Steph.) Fulford",71
"Calymperaceae","Syrrhopodon cryptocarpos","Dozy & Molk.",71
"PYLAISIADELPHACEAE","Isopterygium tenerifolium","Mitt.",71
"Lejeuneaceae","Pycnolejeunea macroloba","(Nees & Mont.) Schiffn.",70
"Calymperaceae","Syrrhopodon prolifer","Schwägr.",70
"Sphagnaceae","Sphagnum balticum","(Russow) C.E.O. Jensen",69
"Calymperaceae","Octoblepharum cylindricum","Mont.",69
"Codiaceae","Codium isthmocladum","Vickers",69
"Lejeuneaceae","Ceratolejeunea cornuta","(Lindenb.) V.Schiffner",68
"Gomphillaceae","Spinomyces ocoteae","Bat. & H. Maia",68
"Plenotrichaceae","Plenotrichaius swartziae","Bat. & Valle",68
"Halimedaceae","Halimeda","J.V.F. Lamouroux",68
"Pottiaceae","Hyophila involuta","(Hook.) A. Jaeger",67
"Siphonocladaceae","Chamaedoris peniculum","(J.Ellis & Sol.) Kuntze",67
"Orthotrichaceae","Schlotheimia rugifolia","(Hook.) Schwägr.",66
"Phallaceae","Xylophallus xylogenus","(Mont.) Fischer",66
"Polyporaceae","Hexagonia hydnoides","(Sw.) M.Fidalgo",66
"Meripilaceae","Rigidoporus microporus","(Sw.) Overeem",66
"Lepidoziaceae","Micropterygium parvistipulum","Spruce",66
"Gomphillaceae","Setomyces crescentiae","Bat. & Taltasse",65
"Sematophyllaceae","Sematophyllum subpinnatum","(Brid.) E.Britton",64
"Plagiochilaceae","Plagiochila disticha","(Lehm. & Lindenb.) Lindenb.",64
"Thelotremataceae","Chroodiscus coccineus","(Leight.) Müll. Arg.",64
"Calymperaceae","Syrrhopodon prolifer var. acanthoneuros","(Müll. Hal.) Müll. Hal.",64
"Lejeuneaceae","Symbiezidium transversale","(Sw.) Trevis.",64
"Fissidentaceae","Fissidens flexinervis","Mitt.",64
"Calymperaceae","Syrrhopodon simmondsii","Steere",64
"Calymperaceae","Syrrhopodon annotinus","W.D. Reese & D.G. Griffin",64
"Sematophyllaceae","Sematophyllum subpinnatum","(Brid.) E. Britton",63
"Lejeuneaceae","Diplasiolejeunea pellucida","(C.F.W. Meissn. ex Spreng.) Schiffn.",63
"Lejeuneaceae","Drepanolejeunea palmifolia","(Nees) Schiffn.",63
"FISSIDENTACEAE","Fissidens hornschuchii","Mont.",63
"Lejeuneaceae","Bryopteris filicina","(Sw.) Nees",62
"Aulographaceae","Aulographum tropicale majus","Bat.",62
"Sphagnaceae","Sphagnum bartlettianum","L.",62
"Calymperaceae","Syrrhopodon","Schwägr.",62
"Sphagnaceae","Sphagnum bartlettianum","Warnst.",62
"Melastomataceae","Microlicia phlogiformis","DC.",61
"Graphostromataceae","Camillea leprieurii","Mont.",61
"Pteridaceae","Doryopteris pedata","(L.) Fée",60
"Calypogeiaceae","Calypogeia","Raddi",60
"Plagiochilaceae","Plagiochila disticha","(Lehm. & Lindenb.) Mont.",59
"Dicranellaceae","Dicranella hilariana","(Mont.) Mitt.",59
"Anadyomenaceae","Anadyomene stellata","(Wulfen) C. Agardh",59
"Gomphillaceae","Setomyces giganteae","Bat. & Bezerra, J. L.",59
"Aneuraceae","Riccardia","Gray",59
"Fissidentaceae","Fissidens pellucidus","Hornsch.",59
"Octoblepharaceae","Octoblepharum stramineum","Mitt.",59
"Neckeraceae","Neckeropsis disticha","(Hedw.) Kindb.",58
"Polyporaceae","Favolus brasiliensis","(Fr.) Fr.",57
"Leucobryaceae","Campylopus pilifer","Brid.",57
"Bryaceae","Bryum","Hedw.",57
"Micropeltidaceae","Micropeltella vismiae","Bat., Peres & Holanda",56
"Udoteaceae","Halimeda discoidea","Decaisne",56
"Radulaceae","Radula","Dumort.",56
"Lepidoziaceae","Pteropsiella","Spruce",56
"Lejeuneaceae","Diplasiolejeunea brunnea","Steph.",56
"Neckeraceae","Neckeropsis undulata","(Hedw.) Reichardt",55
"Desmidiaceae","Euastrum","Ehrenberg ex Ralfs",55
"Dicranaceae","Holomitrium crispulum","Mart.",55
"Cephaloziaceae","Odontoschisma","(Dumort.) Dumort.",54
"Brachytheciaceae","Zelometeorium patulum","(Hedw.) Manuel",54
"Hymenochaetaceae","Fuscoporia gilva","(Schwein) T.Wagner & M.Fisch.",54
"Leucobryaceae","Campylopus occultus","Mitt.",54
"Calymperaceae","Calymperes erosum","Müll. Hal.",54
"Lejeuneaceae","Archilejeunea fuscescens","(Hampe ex Lehm) Fulf.",53
"Plagiochilaceae","plagiochila disticha (lehm. & lindenb.) mont.","(Lehm. & Lindenb.) Mont.",53
"Lepidoziaceae","Zoopsidella integrifolia","(Spruce) R.M. Schust.",53
"Porinaceae","Porina rubentior","(Stirt.) Müll. Arg.",53
"Polyporaceae","Fomes fasciatus","(Sw.) Cooke",53
"Incertae Sedis","Mysia combreti","Bat.",53
"Udoteaceae","Udotea cyathiformis","Decne.",53
"Sematophyllaceae","Trichosteleum","Mitt.",53
"Polyporaceae","Polyporus leprieurii","Mont.",53
"Leucomiaceae","Leucomium strumosum","(Hornsch.) Mitt.",52
"Leucobryaceae","Campylopus savannarum","(Müll. Hal.) Mitt.",52
"Hymenophyllaceae","Hymenophyllum sericeum","(Sw.) Sw.",52
"Dicranaceae","Campylopus surinamensis","Müll.Hal.",52
"Cheirolepidiaceae","Cheirolepidiaceae","Takhtajan ex Turutanova-Ketova",52
"Lejeuneaceae","Cheilolejeunea","(Spruce) Schiffn.",51
"Calypogeiaceae","Calypogeia tenax","(Spruce) Steph.",51
"Udoteaceae","Udotea cyathiformis","Decaisne",51
"Strigulaceae","Strigula subtilissima","(Fée) Müll. Arg.",50
"Sematophyllaceae","Trichosteleum papillosum","(Hornsch.) A.Jaeger",50
"Dicranaceae","Dicranella hilariana","(Mont.) Mitt.",50
"Omphalotaceae","Lentinula raphanica","(Murrill) Mata & R.H.Petersen",50
"Caulerpaceae","Caulerpa prolifera","(P. Forsskal) Lamouroux",50
"Hypnaceae","Isopterygium tenerum","(Sw.) Mitt.",50
"Polytrichaceae","Polytrichum juniperinum","Hedw.",50
