"family","scientificName","scientificNameAuthorship","x"
"Lecanoraceae","Lecanora helva","Stizenb.",271
"Scenedesmaceae","Scenedesmaceae","Oltmanns",216
"Graphidaceae","Glyphis scyphulifera","(Ach.) Staiger",182
"Coccomyxaceae","Coccomyxaceae","Smith",170
"Lycopodiopsidaceae","Brasilodendron","W.G. Chaloner, K.U. Leistikow & A. Hill",146
"Pertusariaceae","Pertusaria flavens","Nyl.",139
"Fabaceae","Bauhinia pentandra","(Bong.) Vogel ex Steud.",95
"Opegraphaceae","Opegrapha","Ach.",93
"Elsinoaceae","Elsinoã« australis","Bitanc. & Jenkins",82
"Elsinoaceae","Elsinoã« fawcettii","Bitanc. & Jenkins",81
"Graphidaceae","Leucodecton occultum","(Eschw.) Frisch",74
"Ganodermataceae","Ganoderma resinaceum","Boud in Pat.",74
"Pertusariaceae","Pertusaria quassiae","(Fée) Nyl.",71
"Graphidaceae","Graphis submarginata","Lücking",71
"Sphagnaceae","Sphagnum balticum","(Russow) C.E.O. Jensen",69
"Pteridaceae","Doryopteris pedata","(L.) Fée",64
"Sphagnaceae","Sphagnum bartlettianum","L.",62
"Sphagnaceae","Sphagnum bartlettianum","Warnst.",62
"Melastomataceae","Microlicia phlogiformis","DC.",61
"Haematommataceae","Haematomma persoonii","(Fée) A. Massal.",56
"Porinaceae","Porina subpungens","Malme",56
"Hymenophyllaceae","Hymenophyllum sericeum","(Sw.) Sw.",52
"Heliconiaceae","Heliconia acuminata","A.Rich.",47
"Schizophyllaceae","Schizophyllum commune","Fr.",46
"Roccellaceae","Enterographa sipmanii","Sparrius",46
"Trebouxiaceae","Trebouxiaceae","Friedl",44
"Asteraceae","Conocliniopsis grossedentata","(Mart. ex Colla) D.J.N.Hind",43
"Graphidaceae","Ocellularia obturascens","(Nyl.) Hale",43
"Polyporaceae","Hexagona hydnoides","(Sw.) K.Fidalgo",42
"Phyllachoraceae","Catacauma huberi","(Henn.) Theiss. & Syd.",39
"Chlamydomonadaceae","Chlamydomonadaceae","F.Stein",39
"Poaceae","Leptochloa fascicularis","(Lam.) A.Gray",38
"Buriadiaceae","Coricladus","A. Jasper, F. Ricardi-Branco & M. Guerra-Sommer",38
"Trichiaceae","Arcyria cinerea","(Bull.) Pers.",37
"Polystomellaceae","Dothidella ulei","Henn.",36
"Lecanoraceae","Lecanora achroa","Nyl.",36
"Ganodermataceae","Ganoderma lucidum","(Curt. ex Fr.) Karst.",35
"Polyporaceae","Lenzites stereoides","(Fr.) Ryvarden",35
"Pteridophyta","Doryopteris pedata","(L.) Fée",35
"Hymenochaetaceae","Phellinus gilvus","(Schwein.) Pat. ",35
"Pteridophyta","Hymenophyllum sericeum","(Sw.) Sw.",35
"Melastomataceae","Miconia scabra","DC.",35
"Geastraceae","Geastrum schweinitzii","(Berk. & Curt.) Zeller",34
"Polyporaceae","Coriolopsis caperata","(Berk.) Murrill",34
"Polyporaceae","Pycnoporus sanguineus","(L.) Murrill",34
"Melastomataceae","Cambessedesia fasciculata","(Spreng.) Fidanza & A.B.Martins",34
"Sphagnaceae","Sphagnum aongstroemii","C. Hartm.",34
"Asteraceae","Wedelia macrodonta","DC.",34
"Asterothecaceae","Tietea","H. Graf zu Solms-Laubach",34
"Polyporaceae","Datronia caperata","(Berk.) Ryvarden",33
"Monimiaceae","Peumus boldus","Molina",33
"Lycopodiaceae","Palhinhaea torta","(Sieber ex Underw. & F.E.Lloyd) Christenh.",32
"Polyporaceae","Fomes fastuosus","(Lév.) Cooke",31
"Pucciniaceae","Puccinia insueta","G. Winter",31
"Asteraceae","Vernonia sericea","Rich.",31
"Marattiaceae","Marattia laevis","Sm.",31
"Hypoxylaceae","Annulohypoxylon stygium","(Lév.) Y.M. Ju, J.D. Rogers & H.M. Hsieh",30
"Ceratiomyxaceae","Ceratiomyxa fruticulosa","(O.F.Müll.) T.Macbr.",30
"Polyporaceae","Fomes fasciatus","(Sw. ex Fr.) Fr.",30
"Melastomataceae","Acisanthera quadrata","Pers.",30
"Myristicaceae","Bicuiba oleifera","(Schott) J.J.de Wilde",29
"Trichiaceae","Hemitrichia calyculata","(Speg.) M.L.Farr.",29
"Chlorellaceae","Chlorellaceae","Brunnthaler",29
"Xylariaceae","Xylaria scruposa","(Fr.) Fr.",28
"Polyporaceae","Pycnoporus sanguineus","(L. ex Fr.) Murr.",28
"Malvaceae","Spirotheca rosea","(Seem.) P.E.Gibbs & W.S.Alverson",28
"Oocystaceae","Oocystaceae","Bohlin",28
"Convolvulaceae","Ipomoea sericosepala","J.R.I.Wood & Scotland",28
"Campanulaceae","Lobelia","Plum. ex L.",28
"Boletinellaceae","Phlebopus portentotus","(Berk. & Broome) Boedijn",27
"Polyporaceae","Trametes hydnoides","(Sw.) Fr.",27
"Pucciniaceae","Puccinia arechavaletae","Speg.",27
"Melastomataceae","Pleroma heteromalla","(D.Don) Cogn.",26
"Tricholomataceae","Lentinus crinitus","(L. ex Fr.) Fr.",26
