"name","country","stateProvince","municipality","protectionCategory","UC_ID","source","type","slug"
"ÁREA DE PROTEÇÃO AMBIENTAL ARQUIPÉLAGO DE SÃO PEDRO E SÃO PAULO","Brazil","Paraíba",NA,"Uso Sustentável","0000.00.3643","DadosGeoestatisticos_UCs_21jul2025.csv","APA","APA_ARQUIPELAGO_DE_SAO_PEDRO_E_SAO_PAULO"
"ÁREA DE PROTEÇÃO AMBIENTAL BARRA DO RIO MAMANGUAPE","Brazil","Paraíba","BAÍA DA TRAIÇÃO (PB) - LUCENA (PB) - MARCAÇÃO (PB) - RIO TINTO (PB)","Uso Sustentável","7","cnuc_2025_08.csv","APA","APA_BARRA_DO_RIO_MAMANGUAPE"
"ÁREA DE PROTEÇÃO AMBIENTAL CARIRI","Brazil","Paraíba","BOA VISTA (PB) - CABACEIRAS (PB) - SÃO JOÃO DO CARIRI (PB)","Uso Sustentável","902","cnuc_2025_08.csv","APA","APA_CARIRI"
"ÁREA DE PROTEÇÃO AMBIENTAL NAUFRÁGIO QUEIMADO","Brazil","Paraíba","CABEDELO (PB) - JOÃO PESSOA (PB)","Uso Sustentável","3.846","cnuc_2025_08.csv","APA","APA_NAUFRAGIO_QUEIMADO"
"ÁREA DE PROTEÇÃO AMBIENTAL ONÇAS","Brazil","Paraíba","SÃO JOÃO DO TIGRE (PB)","Uso Sustentável","485","cnuc_2025_08.csv","APA","APA_ONCAS"
"ÁREA DE PROTEÇÃO AMBIENTAL RONCADOR","Brazil","Paraíba","BANANEIRAS (PB) - PIRPIRITUBA (PB)","Uso Sustentável","2.309","cnuc_2025_08.csv","APA","APA_RONCADOR"
"ÁREA DE PROTEÇÃO AMBIENTAL TAMBABA","Brazil","Paraíba","ALHANDRA (PB) - CONDE (PB) - PITIMBU (PB)","Uso Sustentável","490","cnuc_2025_08.csv","APA","APA_TAMBABA"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO BARRA DO RIO CAMARATUBA","Brazil","Paraíba","MATARACA (PB)","Uso Sustentável","1.727","cnuc_2025_08.csv","ARIE","ARIE_BARRA_DO_RIO_CAMARATUBA"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO GOIAMUNDUBA","Brazil","Paraíba","BANANEIRAS (PB)","Uso Sustentável","2.33","cnuc_2025_08.csv","ARIE","ARIE_GOIAMUNDUBA"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MANGUEZAIS DA FOZ DO RIO MAMANGUAPE","Brazil","Paraíba","MARCAÇÃO (PB) - RIO TINTO (PB)","Uso Sustentável","39","cnuc_2025_08.csv","ARIE","ARIE_MANGUEZAIS_DA_FOZ_DO_RIO_MAMANGUAPE"
"ESTAÇÃO ECOLÓGICA PAU BRASIL","Brazil","Paraíba","MAMANGUAPE (PB)","Proteção Integral","2.331","cnuc_2025_08.csv","EEC","EEC_PAU_BRASIL"
"FLORESTA NACIONAL RESTINGA DE CABEDELO","Brazil","Paraíba","CABEDELO (PB) - JOÃO PESSOA (PB)","Uso Sustentável","132","cnuc_2025_08.csv","FLONA","FLONA_RESTINGA_DE_CABEDELO"
"MONUMENTO NATURAL ARQUIPÉLAGO DE SÃO PEDRO E SÃO PAULO","Brazil","Paraíba",NA,"Proteção Integral","0000.00.3644","DadosGeoestatisticos_UCs_21jul2025.csv","MONA","MONA_ARQUIPELAGO_DE_SAO_PEDRO_E_SAO_PAULO"
"MONUMENTO NATURAL VALE DOS DINOSSAUROS","Brazil","Paraíba","SOUSA (PB)","Proteção Integral","904","cnuc_2025_08.csv","MONA","MONA_VALE_DOS_DINOSSAUROS"
"PARQUE ESTADUAL MARINHO DE AREIA VERMELHA","Brazil","Paraíba","CABEDELO (PB)","Proteção Integral","484","cnuc_2025_08.csv","PE","PE_MARINHO_DE_AREIA_VERMELHA"
"PARQUE ESTADUAL MATA DO PAU FERRO","Brazil","Paraíba","AREIA (PB)","Proteção Integral","901","cnuc_2025_08.csv","PE","PE_MATA_DO_PAU_FERRO"
"PARQUE ESTADUAL MATA DO XEM-XÉM","Brazil","Paraíba","BAYEUX (PB)","Proteção Integral","488","cnuc_2025_08.csv","PE","PE_MATA_DO_XEM-XEM"
"PARQUE ESTADUAL PEDRA DA BOCA","Brazil","Paraíba","ARARUNA (PB)","Proteção Integral","483","cnuc_2025_08.csv","PE","PE_PEDRA_DA_BOCA"
"PARQUE ESTADUAL PICO DO JABRE","Brazil","Paraíba","MÃE D'ÁGUA (PB) - MATURÉIA (PB)","Proteção Integral","2.336","cnuc_2025_08.csv","PE","PE_PICO_DO_JABRE"
"PARQUE ESTADUAL POETA E REPENTISTA JUVENAL DE OLIVEIRA","Brazil","Paraíba","CAMPINA GRANDE (PB)","Proteção Integral","2.337","cnuc_2025_08.csv","PE","PE_POETA_E_REPENTISTA_JUVENAL_DE_OLIVEIRA"
"PARQUE ESTADUAL TRILHAS","Brazil","Paraíba","JOÃO PESSOA (PB)","Proteção Integral","3.802","cnuc_2025_08.csv","PE","PE_TRILHAS"
"PARQUE NACIONAL SERRA DO TEIXEIRA","Brazil","Paraíba","ÁGUA BRANCA (PB) - CACIMBA DE AREIA (PB) - CATINGUEIRA (PB) - IMACULADA (PB) - JURU (PB) - MÃE D'ÁGUA (PB) - MATURÉIA (PB) - OLHO D'ÁGUA (PB) - SANTANA DOS GARROTES (PB) - SANTA TERESINHA (PB) - SÃO JOSÉ DO BONFIM (PB) - TEIXEIRA (PB)","Proteção Integral","4.581","cnuc_2025_08.csv","PARNA","PARNA_SERRA_DO_TEIXEIRA"
"PARQUE NATURAL MUNICIPAL CABEDELO","Brazil","Paraíba","CABEDELO (PB)","Proteção Integral","4.713","cnuc_2025_08.csv","PNM","PNM_CABEDELO"
