"family","scientificName","scientificNameAuthorship","x"
"Asteraceae","Asteraceae Dumort.","Dumort.",1126
"Rubiaceae","Rubiaceae","L.",571
"Sphagnaceae","Sphagnum alegrense Warnst.","Warnst.",307
"Sphagnaceae","Sphagnum alegrense","Warnst.",305
"Bignoniaceae","Tabebuia Gomes","Gomes",282
"Moraceae","Moraceae Gaudin","Gaudin",244
"Selaginellaceae","Selaginellaceae Rchb.","Rchb.",232
"Rubiaceae","Rubiaceae","Aubl.",231
"Lejeuneaceae","Lejeunea flava","(Sw.) Nees",207
"Euphorbiaceae","Euphorbiaceae","L.",205
"Scenedesmaceae","Scenedesmaceae Oltmanns, 1904","Oltmanns, 1904",193
"Lejeuneaceae","Lejeuneaceae Rostovzev","Rostovzev",191
"Poaceae","Poaceae","L.",180
"Sapotaceae","Sapotaceae","Aubl.",173
"Lentibulariaceae","Lentibulariaceae","L.",162
"Calymperaceae","Octoblepharum albidum","Hedw.",160
"Coccomyxaceae","Coccomyxaceae Smith, 1933","Smith, 1933",157
"Euphorbiaceae","Euphorbiaceae","Aubl.",155
"Malvaceae","Malvaceae","L.",154
"Melastomataceae","Tibouchina stenocarpa (DC.) Cogn.","(DC.) Cogn.",148
"Polyporaceae","Pycnoporus sanguineus","(L.) Murrill",141
"Poaceae","Poaceae","P.Beauv.",136
"Fabaceae","Fabaceae","L.",135
"Pottiaceae","Pottiaceae Hampe","Hampe",131
"Lejeuneaceae","Lejeunea flava (Sw.) Nees","(Sw.) Nees",128
"Erpodiaceae","Erpodium glazioui","Hampe",128
"Sapindaceae","Sapindaceae","L.",126
"Dicranaceae","Dicranaceae Schimp.","Schimp.",120
"Octoblepharaceae","Octoblepharum albidum Hedw.","Hedw.",114
"Bryaceae","Bryaceae Rchb.","Rchb.",114
"Asteraceae","Asteraceae","L.",111
"Melastomataceae","Cambessedesia hilariana (A.St.-Hil. ex Bonpl.) DC.","(A.St.-Hil. ex Bonpl.) DC.",109
"Cyperaceae","Cyperaceae","L.",108
"Frullaniaceae","Frullania Raddi","Raddi",107
"Hymenochaetaceae","Phellinus gilvus","(Schwein.) Pat.",103
"Eriocaulaceae","Eriocaulaceae","Mart.",103
"Marasmiaceae","Marasmius haematocephalus","(Mont.) Fr.",102
"Orchidaceae","Orchidaceae","Lindl.",99
"Bignoniaceae","Fridericia Mart.","Mart.",99
"Elsinoaceae","Elsinoã« australis","Bitanc. & Jenkins",97
"Gracilariaceae","Gracilaria cervicornis","(Turner) J.Agardh",95
"Rubiaceae","Psychotria hoffmannseggiana (Roem. & Schult.) Müll.Arg.","(Roem. & Schult.) Müll.Arg.",94
"Cyperaceae","Cyperaceae","Vahl",94
"Elsinoaceae","Elsinoã« fawcettii","Bitanc. & Jenkins",92
"Acanthaceae","Hygrophila costata","Nees",91
"Polyporaceae","Favolus brasiliensis","(Fr.) Fr.",88
"BARTRAMIACEAE","Philonotis uncinata (Schwägr.) Brid.","(Schwägr.) Brid.",88
"Lauraceae","Ocotea minarum Mart. ex Nees","Mart. ex Nees",88
"Melastomataceae","Pleroma stenocarpum (DC.) Triana","(DC.) Triana",87
"Plagiochilaceae","Plagiochila disticha Lehm. & Lindenb.","Lehm. & Lindenb.",87
"Aquifoliaceae","Ilex theizans Mart. ex Reissek","Mart. ex Reissek",87
"Asteraceae","Erigeron maximus (D.Don) DC.","(D.Don) DC.",86
"Polyporaceae","Ganoderma australe","(Fr.) Pat.",84
"Bartramiaceae","Philonotis uncinata","(Schwägr.) Brid.",84
"Solanaceae","Solanaceae","L.",84
"Asteraceae","Vernonia puberula Less.","Less.",84
"Melastomataceae","Melastomataceae","Ruiz & Pav.",83
"Opegraphaceae","Opegrapha","Ach., 1809",82
"Polyporaceae","Hexagonia papyracea","Berk.",82
"Melastomataceae","Cambessedesia hilariana","(A.St.-Hil. ex Bonpl.) DC.",81
"Characeae","Nitella C.Agardh, 1824","C.Agardh, 1824",79
"Racopilaceae","Racopilum tomentosum","(Hedw.) Brid.",78
"Gracilariaceae","Gracilaria caudata","J.Agardh",78
"Sapindaceae","Sapindaceae","Mill.",77
"Plagiochilaceae","Plagiochila (Dumort.) Dumort.","(Dumort.) Dumort.",76
"Sapindaceae","Sapindaceae","Aubl.",76
"Bangiaceae","Porphyra C.Agardh, 1824","C.Agardh, 1824",76
"Leucobryaceae","Leucobryum Hampe","Hampe",76
"Dictyotaceae","Dictyopteris delicatula","J.V. Lamour.",76
"Ramalinaceae","Bacidia","De Not.",72
"Polygonaceae","Polygonaceae","L.",71
"Orchidaceae","Orchidaceae","R.Br.",71
"Neckeraceae","Neckeropsis undulata","(Hedw.) Reichardt",70
"Sargassaceae","Sargassum vulgare","C.Agardh",70
"Piperaceae","Piperaceae","L.",70
"Commelinaceae","Commelinaceae","Plum. ex L.",70
"Asteraceae","Leptostelma maxima","D.Don",69
"Fissidentaceae","Fissidens hornschuchii","Mont.",69
"Melastomataceae","Microlicia imbricata","DC.",68
"Hymenochaetaceae","Hymenochaete damicornis","(Link) Lév.",67
"Hymenophyllaceae","Hymenophyllaceae","L.",67
"Asteraceae","Vernonia nitidula Less.","Less.",67
"Pteridaceae","Pteris longifolia L.","L.",66
"Ulvaceae","Ulva lactuca Linnaeus, 1753","Linnaeus, 1753",66
"Erpodiaceae","Erpodium coronatum","(Hook. & Wilson) Mitt.",65
"Myrtaceae","Indet.","Juss.",65
"Fabaceae","Fabaceae","Plum. ex L.",65
"Parmeliaceae","Parmotrema tinctorum","(Despr. ex Nyl.) Hale",64
"Polyporaceae","Lentinus crinitus","(L.) Fr.",64
"Polyporaceae","Hexagonia hydnoides","(Sw.) M. Fidalgo",64
"Marchantiaceae","Dumortiera hirsuta","(Sw.) Nees",64
"Cystocloniaceae","Hypnea musciformis (Wulfen) Lamouroux","(Wulfen) Lamouroux",64
"Fissidentaceae","Fissidens asplenioides","Hedw.",64
"Acanthaceae","Acanthaceae","Plum. ex L.",64
"Piperaceae","Piperaceae","Ruiz & Pav.",63
"Rubiaceae","Rubiaceae","Salisb.",63
"Bartramiaceae","Philonotis uncinata (Schwägr.) Brid.","(Schwägr.) Brid.",62
"Asteraceae","Solidago microglossa DC.","DC.",62
"Pylaisiadelphaceae","Isopterygium tenerifolium","Mitt.",62
"Araceae","Araceae","Schott",62
"Cordiaceae","Cordiaceae","L.",61
"Sargassaceae","Sargassum stenophyllum","Martius",61
"Orchidaceae","Orchidaceae","Willd.",61
"Polytrichaceae","Pogonatum pensilvanicum","(Hedw.) P. Beauv.",60
"Gracilariaceae","Gracilaria caudata J. Agardh","J. Agardh",60
"Asteraceae","Vernonia cotoneaster Less.","Less.",60
"Staurosiraceae","Pseudostaurosira crateri","Marquardt & C.E. Wetzel",60
"Pylaisiadelphaceae","Isopterygium tenerifolium Mitt.","Mitt.",60
"Lejeuneaceae","Cololejeunea obliqua","(Nees & Mont.) Schiffn.",59
"Lejeuneaceae","Cheilolejeunea (Spruce) Steph.","(Spruce) Steph.",59
"Parmeliaceae","Parmelinopsis minarum","(Vain.) Elix & Hale",59
"Lamiaceae","Lamiaceae","L.",59
"Chonecoleaceae","Chonecolea doellingeri","(Nees) Grolle",58
"Lejeuneaceae","Bryopteris filicina (Sw.) Nees","(Sw.) Nees",58
"Eriocaulaceae","Syngonanthus nitens (Bong.) Ruhland","(Bong.) Ruhland",57
"Neckeraceae","Neckeropsis undulata (Hedw.) Reichardt","(Hedw.) Reichardt",57
"Melastomataceae","Melastomataceae","D.Don",57
"Loganiaceae","Loganiaceae","L.",57
"Apocynaceae","Apocynaceae","Mart. & Zucc.",57
"Calomniaceae","Pyrrhobryum spiniforme (Hedw.) Mitt.","(Hedw.) Mitt.",56
"Hypnaceae","Isopterygium tenerum","(Sw.) Mitt.",56
"Calymperaceae","Calymperaceae Kindb.","Kindb.",56
"Fissidentaceae","Fissidens scariosus","Mitt.",56
"Fabaceae","Inga","Scop.",56
"Melastomataceae","Tibouchina stenocarpa","(DC.) Cogn.",55
"Asteraceae","Leptostelma maxima D.Don","D.Don",55
"Pteridaceae","Pteris longifolia","L.",55
"Pucciniaceae","Puccinia levis","(Sacc. & Bizz.) Magnus",54
"Cyatheaceae","Cyatheaceae","J.E.Sm.",54
"Rubiaceae","Alibertia myrciifolia K.Schum.","K.Schum.",54
"Polygalaceae","Polygalaceae","L.",54
"Sematophyllaceae","Sematophyllum Mitt.","Mitt.",54
"Polyporaceae","Polyporaceae","R.T. Moore",54
"Orchidaceae","Orchidaceae","Ruiz & Pav.",54
"Racopilaceae","Racopilum tomentosum (Hedw.) Brid.","(Hedw.) Brid.",53
"Dictyotaceae","Dictyopteris plagiogramma","(Montagne) Vickers",53
"Lejeuneaceae","Bryopteris diffusa (Sw.) Nees","(Sw.) Nees",53
"Poaceae","Paspalum carinatum Flüggé","Flüggé",53
"Asteraceae","Vernonia puberula","Less.",53
"Leucobryaceae","Leucobryaceae Schimp.","Schimp.",53
"Eriocaulaceae","Syngonanthus nitens","(Bong.) Ruhland",52
"Loranthaceae","Loranthaceae","Mart.",52
"PYLAISIADELPHACEAE","Isopterygium tenerifolium Mitt.","Mitt.",52
"Helicophyllaceae","Helicophyllum torquatum","(Hook.) Brid.",51
"Frullaniaceae","Frullania caulisequa (Nees) Mont.","(Nees) Mont.",51
"Verbenaceae","Lippia salviifolia Cham.","Cham.",51
"Polytrichaceae","Polytrichum juniperinum Hedw.","Hedw.",51
"Orthotrichaceae","Schlotheimia tecta Hook. & Wilson","Hook. & Wilson",51
"Pteridaceae","Adiantum tetraphyllum Humb. & Bonpl. ex Willd.","Humb. & Bonpl. ex Willd.",51
"Begoniaceae","Begoniaceae","L.",51
"Phyllanthaceae","Phyllanthaceae","L.",51
"FISSIDENTACEAE","Fissidens hornschuchii Mont.","Mont.",51
"Orchidaceae","Orchidaceae","Sw.",51
"Fabaceae","Mimosa dolens subsp. acerba (Benth.) Barneby","(Benth.) Barneby",50
"Parmeliaceae","Parmotrema praesorediosum","(Nyl.) Hale",50
"Lejeuneaceae","Cheilolejeunea trifaria","(Reinw.) Mizut.",50
"Lamiaceae","Lamiaceae","Jacq.",50
"Asteraceae","Asteraceae","Schreb.",50
"Lejeuneaceae","Cheilolejeunea rigidula (Nees ex Mont.) R.M. Schust.","(Nees ex Mont.) R.M. Schust.",49
"Polyporaceae","Ganoderma applanatum","(Pers.) Pat.",49
"Pucciniaceae","Puccinia substriata","Ellis & Barthol.",49
"Fabaceae","Fabaceae","Mill.",49
"Calymperaceae","Syrrhopodon gaudichaudii","Mont.",49
"Marantaceae","Marantaceae R.Br.","R.Br.",49
"Calymperaceae","Syrrhopodon prolifer Schwägr.","Schwägr.",49
"Gracilariaceae","Gracilariopsis tenuifrons","(Bird et Oliveira)",48
"Rhodomelaceae","Bostrychia radicans (Montagne) Montagne","(Montagne) Montagne",48
"Leucobryaceae","Campylopus Brid.","Brid.",48
"Phyllogoniaceae","Phyllogonium viride Brid.","Brid.",48
