"name","NumRecords","NumOuro","NumPrata","NumBronze"
"ÁREA DE PROTEÇÃO AMBIENTAL ARARINHA AZUL",0,0,0,0
"ÁREA DE PROTEÇÃO AMBIENTAL ARQUIPÉLAGO DE TRINDADE E MARTIM VAZ",0,0,0,0
"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO COBRE / SÃO BARTOLOMEU",1,0,1,0
"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO DE JANEIRO",427,65,362,0
"ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU",742,25,717,0
"ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE TODOS OS SANTOS",396,0,396,0
"ÁREA DE PROTEÇÃO AMBIENTAL BOQUEIRÃO DA ONÇA",108,62,46,0
"ÁREA DE PROTEÇÃO AMBIENTAL CAMINHOS ECOLÓGICOS DA BOA ESPERANÇA",578,0,578,0
"ÁREA DE PROTEÇÃO AMBIENTAL CARAÍVA/ TRANCOSO",248,0,248,0
"ÁREA DE PROTEÇÃO AMBIENTAL COROA VERMELHA",0,0,0,0
"ÁREA DE PROTEÇÃO AMBIENTAL COSTA DE ITACARÉ/ SERRA GRANDE",2709,1,2708,0
"ÁREA DE PROTEÇÃO AMBIENTAL COSTA DOURADA",8,0,8,0
"ÁREA DE PROTEÇÃO AMBIENTAL DUNAS E VEREDAS DO BAIXO MÉDIO SÃO FRANCISCO",985,0,985,0
"ÁREA DE PROTEÇÃO AMBIENTAL GRUTAS DOS BREJÕES / VEREDAS DO ROMÃO GRAMACHO",146,0,146,0
"ÁREA DE PROTEÇÃO AMBIENTAL GUAIBIM",1312,751,561,0
"ÁREA DE PROTEÇÃO AMBIENTAL ILHAS DE TINHARÉ E BOIPEBA",1155,1,1154,0
"ÁREA DE PROTEÇÃO AMBIENTAL JOANES - IPITANGA",105,0,105,0
"ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE PEDRA DO CAVALO",4,1,3,0
"ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE SOBRADINHO",341,0,341,0
"ÁREA DE PROTEÇÃO AMBIENTAL LAGOA DE ITAPARICA",92,8,84,0
