"name","country","stateProvince","municipality","protectionCategory","UC_ID","source","type","slug"
"ÁREA DE PROTEÇÃO AMBIENTAL ARARINHA AZUL","Brazil","Bahia","CURAÇÁ (BA) - JUAZEIRO (BA)","Uso Sustentável","3.696","cnuc_2025_08.csv","APA","APA_ARARINHA_AZUL"
"ÁREA DE PROTEÇÃO AMBIENTAL ARQUIPÉLAGO DE TRINDADE E MARTIM VAZ","Brazil","Bahia",NA,"Uso Sustentável","0000.00.3633","DadosGeoestatisticos_UCs_21jul2025.csv","APA","APA_ARQUIPELAGO_DE_TRINDADE_E_MARTIM_VAZ"
"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO COBRE / SÃO BARTOLOMEU","Brazil","Bahia","SALVADOR (BA) - SIMÕES FILHO (BA)","Uso Sustentável","321","cnuc_2025_08.csv","APA","APA_BACIA_DO_COBRE___SAO_BARTOLOMEU"
"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO DE JANEIRO","Brazil","Bahia","BARREIRAS (BA) - LUÍS EDUARDO MAGALHÃES (BA)","Uso Sustentável","305","cnuc_2025_08.csv","APA","APA_BACIA_DO_RIO_DE_JANEIRO"
"ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU","Brazil","Bahia","CAMAMU (BA) - ITACARÉ (BA) - MARAÚ (BA)","Uso Sustentável","328","cnuc_2025_08.csv","APA","APA_BAIA_DE_CAMAMU"
"ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE TODOS OS SANTOS","Brazil","Bahia","CACHOEIRA (BA) - CANDEIAS (BA) - ITAPARICA (BA) - JAGUARIPE (BA) - MADRE DE DEUS (BA) - MARAGOGIPE (BA) - SALINAS DA MARGARIDA (BA) - SALVADOR (BA) - SANTO AMARO (BA) - SÃO FRANCISCO DO CONDE (BA) - SAUBARA (BA) - SIMÕES FILHO (BA) - VERA CRUZ (BA)","Uso Sustentável","320","cnuc_2025_08.csv","APA","APA_BAIA_DE_TODOS_OS_SANTOS"
"ÁREA DE PROTEÇÃO AMBIENTAL BOQUEIRÃO DA ONÇA","Brazil","Bahia","CAMPO FORMOSO (BA) - JUAZEIRO (BA) - MORRO DO CHAPÉU (BA) - SENTO SÉ (BA) - SOBRADINHO (BA) - UMBURANAS (BA)","Uso Sustentável","3.655","cnuc_2025_08.csv","APA","APA_BOQUEIRAO_DA_ONCA"
"ÁREA DE PROTEÇÃO AMBIENTAL CAMINHOS ECOLÓGICOS DA BOA ESPERANÇA","Brazil","Bahia","CAIRU (BA) - JIQUIRIÇÁ (BA) - NILO PEÇANHA (BA) - TAPEROÁ (BA) - TEOLÂNDIA (BA) - UBAÍRA (BA) - VALENÇA (BA) - WENCESLAU GUIMARÃES (BA)","Uso Sustentável","301","cnuc_2025_08.csv","APA","APA_CAMINHOS_ECOLOGICOS_DA_BOA_ESPERANCA"
"ÁREA DE PROTEÇÃO AMBIENTAL CARAÍVA/ TRANCOSO","Brazil","Bahia","PORTO SEGURO (BA)","Uso Sustentável","310","cnuc_2025_08.csv","APA","APA_CARAIVA__TRANCOSO"
"ÁREA DE PROTEÇÃO AMBIENTAL COROA VERMELHA","Brazil","Bahia","PORTO SEGURO (BA) - SANTA CRUZ CABRÁLIA (BA)","Uso Sustentável","308","cnuc_2025_08.csv","APA","APA_COROA_VERMELHA"
