"family","scientificName","scientificNameAuthorship","x"
"Melastomataceae","Cambessedesia fasciculata","(Spreng.) Fidanza & A.B.Martins",375
"Hypoxylaceae","Annulohypoxylon stygium","(Lév.) Y.M. Ju, J.D. Rogers & H.M. Hsieh",195
"Melastomataceae","Cambessedesia bahiana","(A.B.Martins) Fidanza & A.B.Martins",167
"Scenedesmaceae","Scenedesmaceae","Oltmanns",141
"Beltraniaceae","Beltrania rhombica","Penz.",110
"Melastomataceae","Cambessedesia bahiana","(A.B.Martins) K.Fidanza & A.B.Martins",106
"Oocystaceae","Planktosphaeria gelatinosa","G.M. Smith",104
"Fabaceae","Bauhinia pentandra","(Bong.) Vogel ex Steud.",98
"Marantaceae","Goeppertia","Nees",87
"Lauraceae","Ocotea magnilimba","Kosterm.",84
"Polyporaceae","Pycnoporus sanguineus","(L.) Murrill",82
"Rubiaceae","Tapanhuacanga asparagoides","(Mart.) P.L.R.Moraes",82
"Polyporaceae","Datronia caperata","(Berk.) Ryvarden",79
"Beltraniaceae","Beltraniella portoricensis","(F.Stevens) Piroz. & S.D.Patil",75
"Lamiaceae","Eriope heterantha","(Benth.) Harley",73
"Hymenochaetaceae","Phellinus gilvus","(Schwein.) Pat.",71
"Poaceae","Eremitis robusta","Hollowell, F.M.Ferreira & R.P.Oliveira",64
"Myrtaceae","Eugenia maritima","DC.",63
"Chaetosphaeriaceae","Thozetella cristata","Piroz. & Hodges",61
"Melastomataceae","cambessedesia fasciculata (spreng.) k.fidanza & a.b.martins","(Spreng.) K.Fidanza & A.B.Martins",57
"Schizophyllaceae","Schizophyllum commune","Fr.",57
"Fabaceae","Cenostigma lewisii","F.G.A.Oliveira & L.P.Queiroz",55
"Leguminosae Subfam. Caesalpinioideae","Cenostigma lewisii","F.G.A.Oliveira & L.P.Queiroz",55
"Melastomataceae","Cambessedesia fasciculata","(Spreng.) Fidanza & A.B. Martins",54
"Hypoxylaceae","Hypomontagnella monticulosa","(Mont.) Sir, L. Wendt & C. Lamb.",52
"Solanaceae","Solanum helix","Giacomin & Stehmann",52
"Erythroxylaceae","Erythroxylum potyrassu","Costa-Lima",50
"Asteraceae","Trixis","Sw.",50
"Pylaisiadelphaceae","Microcalpe subsimplex","(Hedw.) Spruce",49
"Malvaceae","Cola acuminata","(P.Beauv.) Schott & Endl.",49
"Erythroxylaceae","erythroxylum potyrassu costa-lima","Costa-Lima",49
"Asteraceae","Conyza chilensis","Spreng.",49
"Amaranthaceae","Alternanthera flavogrisea","(Urb.) Urb.",48
"Rubiaceae","Oldenlandia bahiana","Nunez Florentin",48
"Hypoxylaceae","Annulohypoxylon truncatum","(Starbäck) Y.M. Ju, J.D. Rogers & H.M. Hsieh",47
"Fabaceae","Grona barbata","(L.) H.Ohashi & K.Ohashi",45
"Euphorbiaceae","Algernonia pardina","Croizat",45
"Myrtaceae","Eugenia dichroma","O.Berg",44
"Rubiaceae","Hexasepalum radulum","(Willd.) Delprete & J.H.Kirkbr.",43
"Acanthaceae","Schaueria gonyostachya","Nees",43
"Polyporaceae","Coriolopsis caperata","(Berk.) Murrill",42
"Hymenochaetaceae","Phellinus rimosus","(Berk.) Pilát",42
"Fabaceae","Albizia pedicellata","Baker ex Benth.",42
"Chlamydomonadaceae","Chlamydomonadaceae","F.Stein",42
"Poaceae","Eremitis robusta","Hollowell & Soderstr.",42
"Fragilariaceae","Fragilaria crotonensis","Kitton",42
"Incertae Sedis","Chalara alabamensis","Morgan-Jones & E.G.Ingram",42
"Poaceae","Steinchisma laxa","(Sw.) Zuloaga",40
"Pteridaceae","Doryopteris pedata","(L.) Fée",39
"Cyperaceae","Cryptangium verticillatum","(Spreng.) Vitta",39
"Onagraceae","ludwigia lathrophyton saddi","Saddi",39
"Incertae Sedis","Gyrothrix microsperma","(Höhn.) Piroz.",38
"Cystocloniaceae","Hypnea stellulifera","(J.Agardh) Yamagishi & Masuda",38
"Auriculariaceae","Auricularia polytricha","(Mont.) Sacc.",38
"Polyporaceae","Trametes villosa","(Sw.) Kreisel",38
"Capparaceae","Neocalyptrocalyx atlanticus","Luber & Cornejo",38
"Rubiaceae","Palicourea stachyoides","(Benth.) Delprete",37
"Fabaceae","Chamaecrista × blanchetiformis","Conc., L.P.Queiroz & Borba",37
"Nectriaceae","Chaetopsina fulva","Rambelli",37
"Asteraceae","Conocliniopsis grossedentata","(Mart. ex Colla) D.J.N.Hind",36
"Amaranthaceae","Hebanthe eriantha","(Poir.) Pedersen",36
"Fabaceae","Macroptilium albidum","C.L.Ribeiro, Snak & L.P.Queiroz",36
"Trypetheliaceae","Trypethelium eluteriae","Spreng.",36
"Melastomataceae","cambessedesia fasciculata (spreng.) fidanza & a.b. martins","(Spreng.) Fidanza & A.B. Martins",35
"Incertae Sedis","Atrosetaphiale flagelliformis","Matsush.",35
"Chaetosphaeriaceae","Thozetella pinicola","S.Y.Q. Yeung, R. Jeewon & K.D. Hyde",35
"Bignoniaceae","proterantha glandulosa a.h.gentry","A.H.Gentry",34
"Leucobryaceae","albidum","Hedw.",34
"Clusiaceae","Clusia mayana","Lundell",34
"Cordiaceae","Cordia bifurcata","Roem. & Schult.",34
"Melastomataceae","Microlicia cataphracta","(DC.) Versiane & R.Romero",33
"Ericaceae","gaylussacia hilaireana (sleumer) g.o.romão & v.c.souza","(Sleumer) G.O.Romão & V.C.Souza",33
"Lichens","tenerum","(Sw.) Mitt.",33
"Incertae Sedis","Cryptophiale kakombensis","Piroz.",33
"Vermiculariopsiellaceae","Vermiculariopsiella immersa","(Desm.) Bender",32
"Polyporaceae","Lentinus crinitus","(L.) Fr.",32
"Plantaginaceae","Achetaria brasiliana","S.M.P.B.Guimarães & M.T. Fujii",32
"Bromeliaceae","Wittmackia bicolor","(L.B.Sm.) Aguirre-Santoro",31
"Melastomataceae","cambessedesia fasciculata (spreng.) fidanza & a.b.martins","(Spreng.) Fidanza & A.B.Martins",31
"Incertae Sedis","Henicospora coronata","B. Sutton & P.M. Kirk",31
"Fabaceae","Bauhinia aculeata","L.",31
"Clusiaceae","Caraipa densiflora","Mart.",31
"Cladosporiaceae","Cladosporium oxysporium","Berk.& M.A.Curtis",30
"Poaceae","Eustachys caribaea","(Spreng.) Herter",29
"Polyporaceae","Hexagonia variegata","Berk.",29
"Ganodermataceae","Ganoderma australe","(Fr.) Pat.",28
"Incertae Sedis","Parasympodiella laxa","(Subram. & Vital) Ponnapa",28
"Melastomataceae","Marcetia pseudovelutina","A.B.Martins",28
"Bignoniaceae","Proterantha glandulosa","A.H.Gentry",28
"Pylaisiadelphaceae","Taxithelium portoricense","R.S. Williams",28
"Ericaceae","Gaylussacia hilaireana","(Sleumer) G.O.Romão & V.C.Souza",27
"Acanthaceae","Ruellia glabra","B.Heyne ex Roth",27
"Lauraceae","ocotea itoibirensis p.l.r.moraes & van der werff","P.L.R.Moraes & van der Werff",27
"Rubiaceae","Tapanhuacanga asparagoides","(Mart) P.L.R.Moraes",26
"Incertae Sedis","Umbellidion radulans","B.Sutton & Hodges",26
"Convolvulaceae","Ipomoea sericosepala","J.R.I.Wood & Scotland",26
"Euphorbiaceae","Croton stellatorotatus","Sodré & M.J.Silva",26
"Tectariaceae","Triplophyllum protensum","(Afzel. ex Sw.) Holttum",25
"Poaceae","Leptochloa fascicularis","(Lam.) A.Gray",25
"Bromeliaceae","Wittmackia lingulatoides","(Leme & H.Luther) Aguirre-Santoro",25
"Bromeliaceae","Wittmackia turbinocalyx","(Mez) Aguirre-Santoro",25
"Hymenochaetaceae","Aurificaria luteoumbrina","(Rom.) Reid",25
"Melastomataceae","cambessedesia fasciculata (spreng.)k. fidanza & a. b. martins","(Spreng.)k. Fidanza & A. B. Martins",25
"Nostocaceae","Anabaena constricta","(Szafer) Geitler",25
"Melastomataceae","Marcetia aurifera","A.K.A.Santos",25
"Incertae Sedis","Speiropsis scopiformis","Kuthub. & Nawawi",25
"Campanulaceae","Lobelia","Plum. ex L.",25
"Erythrotrichiaceae","Rhopalosolen cylindricus","(F. Lambert) Fott",24
"Bromeliaceae","Pseudaraeococcus nigropurpureus","(Leme & J.A.Siqueira) R.A.Pontes & Versieux",24
"Hymenochaetaceae","Fuscoporia licnoides","(Mont.) Oliveira-Filho & Gibertoni",24
"Rhodymeniaceae","Botryocladia martinsiae","C.C.Santos, Cassano & J.M.C.Nunes",24
"Erythrotrichiaceae","Erythrotrichiaceae","G.M. Smith",24
"Acanthaceae","Mendoncia riedeliana","Nees",24
"Acanthaceae","Jacobinia paniculata","Oerst.",24
"Onagraceae","Ludwigia lathrophyton","Saddi",24
"Incertae Sedis","Exserticlava vasiformis","(Matsush.) S.Hughes",23
"Hymenochaetaceae","Hymenochaete rheicolor","(Mont.) Lév.",23
"Polyporaceae","Earliella scabrosa","(Pers.) Gilb. & Ryvarden",23
"Incertae Sedis","Zygosporium gibbum","(Sacc. et al.) S.Hughes",23
"Melastomataceae","Cambessedesia fasciculata","(Spreng.) K.Fidanza & A.B.Martins",23
"Gentianaceae","Chelonanthus abditus","Calió & Pirani",23
"Hymenochaetaceae","Polystictus","Fr.",23
"Poaceae","Paspalum millegranum","Schrad.",23
"Asteraceae","Calea flagelliformis","V.R.Bueno & Roque",23
"Melastomataceae","Microlicia gentianoides","(DC.) Versiane & R.Romero",22
"Xylariaceae","Kretzschmaria clavus","(Fr.) Sacc.",22
"Meripilaceae","Rigidoporus lineatus","(Pers.) Ryvarden",22
"Polyporaceae","Fomes fasciatus","(Sw.) Cooke",22
"Rhodymeniaceae","Botryocladia caraibica","Gavio & Fredericq",22
"Cordiaceae","Varronia longifolia","Sessé & Moc.",22
"Cladophoraceae","Cladophora vadorum","(Areschoug) Kützing",21
"Xylariaceae","Xylaria scruposa","(Fr.) Fr.",21
"Xylariaceae","Xylaria cubensis","(Mont.) Fr.",21
"Hymenochaetaceae","aurificaria luteoumbrina (rom.) reid","(Rom.) Reid",21
"Incertae Sedis","Circinotrichum olivaceum","(Speg.) Piroz.",21
"Polyporaceae","Hexagonia hydnoides","(Sw.) M. Fidalgo",21
"Polyporaceae","Hexagonia hydnoides","(Sw.) M.Fidalgo",21
"Wiesneriomycetaceae","Wiesneriomyces laurinus","(Tassi) P.M.Kirk",21
"Plagiochilaceae","Plagiochila swartziana","(Weber) Trevis.",21
"Coelastraceae","Actinastrum hantzschii","Lagerheim",21
"Rhamnaceae","sarcomphalus cotinifolia reissek","Reissek",21
"Chaetosphaeriaceae","Codinaea simplex","S. Hughes & W.B. Kendr.",21
"Asteraceae","Calea flagelliformis","V.R.Bueno & N.Roque",21
"Astrosphaeriellaceae","Pithomyces chartarum","(Berk. & M.A.Curtis) M.B.Ellis",20
"Xylariaceae","Xylaria telfairii","(Berk.) Sacc.",20
"Rhizogoniaceae","Pyrrhobryum iniforme","(Hedw.) Mitt.",20
"Marantaceae","Calathea argyrophylla","(Linden ex K.Koch) L.H.Bailey & Raffill",20
"Poaceae","Leptochloa exilis","(Renvoize) P.M.Peterson",20
"Chlorococcaceae","Chlorococcum infusionum","(Schrank) Meneghini",20
"Incertae Sedis","Satchmopsis brasiliensis","B.Sutton & Hodges",20
"Dasycladaceae","Neomeris mucosa","Howe",20
"Incertae Sedis","Spirosphaera carici-graminis","Voglmayr",20
"Malvaceae","Hibiscus schizopetalus","(Dyer) Hook.fil.",19
"Bromeliaceae","Wittmackia brasiliensis","(E.Pereira & I.A.Penna) Aguirre-Santoro",19
"Pleosporaceae","Curvularia eragrostidis","(Henn.) J.A.Mey",19
"Polyporaceae","Coriolopsis floccosa","(Jungh.) Ryvarden",19
"Bromeliaceae","Wittmackia froesii","(L.B.Sm.) Aguirre-Santoro",19
"Poaceae","Chloris mollis","(Nees) Swallen",19
"Cyperaceae","Rhynchospora stricta","Boeckeler",19
"Rhodymeniaceae","Botryocladia paulae","C.C. dos Santos, Cassano & J.M. de C. Nunes",19
"Leguminosae Subfam. Papilionoideae","Macroptilium albidum","C.L.Ribeiro, Snak & L.P.Queiroz",19
"Beltraniaceae","Beltrania querna","Harkn.",19
"Verbenaceae","Tamonea pubescens","P.H.Cardoso",19
"Incertae Sedis","Gyrothrix circinata","(Berk. & M.A.Curtis) S.Hughes",18
"Ramboldiaceae","Ramboldia haematites","(Fée) Kalb, Lumbsch & Elix",18
"Bromeliaceae","Wittmackia incompta","(Leme & H.Luther) Aguirre-Santoro",18
"Melastomataceae","Microlicia nervulosa","(Naudin) Versiane & R.Romero",18
"Poaceae","Eremitis limae","F.M.Ferreira & R.P.Oliveira",18
"Nectriaceae","Volutella minima","Höhn.",18
"Incertae Sedis","Verticicladus subiculifer","Matsush.",18
"Euphorbiaceae","Croton musicarpa","Muell. Arg.",18
"Myrtaceae","Eugenia fluminensis","O.Berg",18
"Verbenaceae","Tamonea maxima","P.H.Cardoso",18
"Sematophyllaceae","Taxithelium portoricense","R.S. Williams",18
"Thymelaeaceae","Daphnopsis granulosa","Rossi",18
"Fabaceae","Dalbergia sissoo","Roxb. ex DC.",18
"Schizoporaceae","Schizopora flavipora","(Berk. & M.A. Curtis ex Cooke) Ryvarden",17
"Arcyriaceae","Arcyria cinerea","(Bull.) Pers.",17
"Ganodermataceae","Ganoderma australe","(Fr.) Pat. ",17
"Bromeliaceae","Wittmackia canaliculata","(Leme & H.Luther) Aguirre-Santoro",17
"Bromeliaceae","Wittmackia pendulispica","(Leme & L.Kollmann) Aguirre-Santoro",17
"Bromeliaceae","Wittmackia sulbahianensis","(Leme, Amorim & J.A.Siqueira) Aguirre-Santoro",17
"Cladoniaceae","Cladonia verticillaris","(Raddi) Fr.",17
"Rubiaceae","hexasepalum radulum (willd.)delprete & j.h.kirkbr.","(Willd.)Delprete & J.H.Kirkbr.",17
"Convolvulaceae","Ipomoea verbascoidea","Choisy",17
"Sapotaceae","pouteria cronquist","Cronquist",17
"Asteraceae","Vernonia ganevii","D.J.N.Hind",17
"Poaceae","Eremitis jardimii","F.M.Ferreira & R.P.Oliveira",17
"Cordiaceae","Cordia dichotoma","G.Forst.",17
"Clusiaceae","clusia meiantha g.mey.","G.Mey.",17
"Polygonaceae","Coccoloba cruegeri","Griseb.",17
"Euphorbiaceae","Bernardia erecta","J.F.Carrión & Amorim",17
"Polygonaceae","Coccoloba cruegeri","Lindau",17
"Fabaceae","Inga filiformis","N.Zamora",17
"Incertae Sedis","Paraceratocladium silvestre","R.F.Castañeda",17
"Moraceae","Sorocea ganevii","R.M.Castro",17
"Boraginaceae","cordia bifurcata roem.& schult.","Roem.& Schult.",17
"Aliquandostipitaceae","Xylomyces foliicola","W.B. Kendr. & R.F. Castañeda",17
"Incertae Sedis","Ellisembia adscendens","(Berk.) Subram.",16
"Zingiberaceae","Alpinia nutans","(L.) Roscoe",16
"Fabaceae","Ctenodon sabulicola","(L.P.Queiroz & D.B.O.S.Cardoso) D.B.O.S.Cardoso",16
"Rubiaceae","Tapanhuacanga asparagoides","(Mart. & Zucc.) P.L.R. Moraes",16
"Piperaceae","Piper corcovadense","(Miq.) C.DC.",16
"Hypnaceae","Mittenothamnium substriatum","(Mitt.) Cardot",16
"Melastomataceae","Pleroma velutina","(Naudin) Triana",16
"Orchidaceae","Microchilus jussariensis","(Ormerod) E.C.Smidt & M.W.Chase",16
"Graphostromataceae","Biscogniauxia uniapiculata","(Penz. & Sacc.) Whalley & Læssøe",16
"Melastomataceae","Cambessedesia fasciculata","(Spreng.) K. Fidanza & A.B. Martins",16
"Incertae Sedis","Brachysporiella gayana","Bat.",16
"Polyporaceae","Hexagonia papyracea","Berk.",16
"Fabaceae","macroptilium albidum c.l.ribeiro, snak & l.p.queiroz","C.L.Ribeiro, Snak & L.P.Queiroz",16
"Capparaceae","Aa - Excluir (Dactylaena) microphylla","Eichler",16
"CAPPARACEAE","Aa - Excluir (Dactylaena) microphylla","Eichler",16
"Begoniaceae","Begonia dichotoma","Jacq.",16
"Chaetosphaeriaceae","Chloridium transvaalense","Morgan-Jones et al.",16
"Lecanoraceae","Lecanora achroa","Nyl.",16
"Chaetosphaeriaceae","Menisporopsis theobromae","S.Hughes",16
"Fabaceae","Entada abyssinica","Steud. ex A.Rich.",16
"Apocynaceae","Mandevilla moricanda","(A.DC.) Woodson",15
"CACTACEAE","Rhipsalidopsis phyllanthus","(L.) Haw.",15
"Acanthaceae","Ruellia glabra","(Mart.) Lindau",15
"Hypoxylaceae","Phylacia bomba","(Mont.) Pat.",15
"Fabaceae","chamaecrista blanchetiformis conc. & l.p.queiroz","Conc. & L.P.Queiroz",15
"Dictyosporiaceae","Dictyosporium elegans","Corda",15
"Bromeliaceae","Hohenbergia amargosensis","E.H.Souza & Leme",15
"Periconiaceae","Periconia cookei","E.W.Mason & M.B.Ellis",15
"Graphidaceae","Ocellularia","G. Mey.",15
"Lamiaceae","Eriope ganevii","Harley",15
"Incertae Sedis","Cryptophialoidea fasciculata","Kuthub. & Nawawi",15
"Dinophysaceae","Metadinophysis sinensis","Nie & Wang",15
"Ochrolechiaceae","Ochrolechia africana","Zahlbr.",15
"Bignoniaceae","Fridericia brachypoda","(DC.) Bur.",14
"Fabaceae","albizia pedicellatus (dc.)l. rico","(Dc.)L. Rico",14
"Stachybotryaceae","Stachybotrys chartarum","(Ehrenb.) S.Hughes",14
"Graphidaceae","Diorygma poitaei","(Fée) Kalb, Staiger & Elix",14
"Bromeliaceae","Wittmackia amorimii","(Leme) Aguirre-Santoro",14
"Incertae Sedis","Kionochaeta ramifera","(Matsush.) P.M.Kirk & B.Sutton",14
"Chaetosphaeriaceae","Dictyochaeta fertilis","(S.Hughes & W.B.Kendr.) Hol.-Jech.",14
"Fabaceae","Grona adscendens","(Sw.) H.Ohashi & K.Ohashi",14
"POLYPORACEAE","Trametes villosa","(Sw.) Kreisel",14
"Parmeliaceae","Parmotrema delicatulum","(Vain.) Hale",14
"Incertae Sedis","Neojohnstonia minima","Gusmão & Grandi",14
"Orobanchaceae","Buchnera virgata","Kunth",14
"Bromeliaceae","Tillandsia jequiensis","L.Hrom. & H.Hrom.",14
"Eriocaulaceae","Syngonanthus giuliettiae","L.R. Parra",14
"Incertae Sedis","Triscelophorus acuminatus","Nawawi",14
"Incertae Sedis","Kionochaeta spissa","P.M.Kirk & B.Sutton",14
"Rhamnaceae","Sarcomphalus cotinifolia","Reissek",14
"Myricaceae","Myricaceae","Rich. ex Kunth",14
"Xylariaceae","Xylaria arbuscula","Sacc.",14
"Graphidaceae","Phaeographis brasiliensis","(A. Massal.) Kalb & Matthes-Leicht",13
"Melastomataceae","Cambessedesia bahiana","(A.B. Martins) Fidanza & A.B. Martins",13
"Bromeliaceae","Stigmatodon lancifolius","(Baker) D.R.Couto & A.F.Costa",13
"Fabaceae","Psophocarpus scandens","(Endl.) Verdc.",13
"Ganodermataceae","Ganoderma oerstedii","(Fr.) Torrend",13
"BROMELIACEAE","Wittmackia lingulatoides","(Leme & H.Luther) Aguirre-Santoro",13
"Rubiaceae","Tapanhuacanga asparagoides","(Mart. ex Mart. & Zucc.) P.L.R. Moraes",13
"Fabaceae","Chamaecrista fasciculata","(Michx.) Greene",13
"Torulaceae","Torula herbarum","(Pers.) Link",13
"Anacardiaceae","Hermogenodendron concinnum","(Schott) Santin",13
