"name","country","stateProvince","municipality","protectionCategory","UC_ID","source","type","slug"
"ÁREA DE PROTEÇÃO AMBIENTAL BANHADO GRANDE","Brazil","Rio Grande do Sul","GLORINHA (RS) - GRAVATAÍ (RS) - SANTO ANTÔNIO DA PATRULHA (RS) - VIAMÃO (RS)","Uso Sustentável",1.988,"cnuc_2025_08.csv","APA","APA_BANHADO_GRANDE"
"ÁREA DE PROTEÇÃO AMBIENTAL CORREDORES DE BIODIVERSIDADE DE CANELA","Brazil","Rio Grande do Sul","CANELA (RS)","Uso Sustentável",4.293,"cnuc_2025_08.csv","APA","APA_CORREDORES_DE_BIODIVERSIDADE_DE_CANELA"
"ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DELTA DO JACUÍ","Brazil","Rio Grande do Sul","CANOAS (RS) - CHARQUEADAS (RS) - ELDORADO DO SUL (RS) - NOVA SANTA RITA (RS) - PORTO ALEGRE (RS) - TRIUNFO (RS)","Uso Sustentável",1.987,"cnuc_2025_08.csv","APA","APA_ESTADUAL_DELTA_DO_JACUI"
"ÁREA DE PROTEÇÃO AMBIENTAL IBIRAPUITÃ","Brazil","Rio Grande do Sul","ALEGRETE (RS) - QUARAÍ (RS) - ROSÁRIO DO SUL (RS) - SANT'ANA DO LIVRAMENTO (RS)","Uso Sustentável",21,"cnuc_2025_08.csv","APA","APA_IBIRAPUITA"
"ÁREA DE PROTEÇÃO AMBIENTAL LAGOA DE ITAPEVA","Brazil","Rio Grande do Sul","TORRES (RS)","Uso Sustentável",4.618,"cnuc_2025_08.csv","APA","APA_LAGOA_DE_ITAPEVA"
"ÁREA DE PROTEÇÃO AMBIENTAL LAGOA VERDE","Brazil","Rio Grande do Sul","RIO GRANDE (RS)","Uso Sustentável",1.757,"cnuc_2025_08.csv","APA","APA_LAGOA_VERDE"
"ÁREA DE PROTEÇÃO AMBIENTAL MORRO DE OSÓRIO","Brazil","Rio Grande do Sul","OSÓRIO (RS)","Uso Sustentável",1.976,"cnuc_2025_08.csv","APA","APA_MORRO_DE_OSORIO"
"ÁREA DE PROTEÇÃO AMBIENTAL ROTA DO SOL","Brazil","Rio Grande do Sul","CAMBARÁ DO SUL (RS) - ITATI (RS) - SÃO FRANCISCO DE PAULA (RS) - TRÊS FORQUILHAS (RS)","Uso Sustentável",1.996,"cnuc_2025_08.csv","APA","APA_ROTA_DO_SOL"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LITORAL NORTE","Brazil","Rio Grande do Sul","TRAMANDAÍ (RS)","Uso Sustentável",5.005,"cnuc_2025_08.csv","ARIE","ARIE_LITORAL_NORTE"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MORRO FERRABRAZ","Brazil","Rio Grande do Sul","SAPIRANGA (RS)","Uso Sustentável",3.613,"cnuc_2025_08.csv","ARIE","ARIE_MORRO_FERRABRAZ"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MORRO FERRABRAZ - ARARICÁ","Brazil","Rio Grande do Sul","ARARICÁ (RS)","Uso Sustentável",4.785,"cnuc_2025_08.csv","ARIE","ARIE_MORRO_FERRABRAZ_-_ARARICA"
"ESTAÇÃO ECOLÓGICA ARACURI-ESMERALDA","Brazil","Rio Grande do Sul","MUITOS CAPÕES (RS)","Proteção Integral",50,"cnuc_2025_08.csv","EEC","EEC_ARACURI-ESMERALDA"
"ESTAÇÃO ECOLÓGICA ESTADUAL ARATINGA","Brazil","Rio Grande do Sul","ITATI (RS) - SÃO FRANCISCO DE PAULA (RS)","Proteção Integral",1.995,"cnuc_2025_08.csv","EEC","EEC_ESTADUAL_ARATINGA"
"ESTAÇÃO ECOLÓGICA TAIM","Brazil","Rio Grande do Sul","RIO GRANDE (RS) - SANTA VITÓRIA DO PALMAR (RS)","Proteção Integral",70,"cnuc_2025_08.csv","EEC","EEC_TAIM"
"FLORESTA NACIONAL CANELA","Brazil","Rio Grande do Sul","CANELA (RS)","Uso Sustentável",87,"cnuc_2025_08.csv","FLONA","FLONA_CANELA"
"FLORESTA NACIONAL PASSO FUNDO","Brazil","Rio Grande do Sul","MATO CASTELHANO (RS)","Uso Sustentável",130,"cnuc_2025_08.csv","FLONA","FLONA_PASSO_FUNDO"
"FLORESTA NACIONAL SÃO FRANCISCO DE PAULA","Brazil","Rio Grande do Sul","SÃO FRANCISCO DE PAULA (RS)","Uso Sustentável",133,"cnuc_2025_08.csv","FLONA","FLONA_SAO_FRANCISCO_DE_PAULA"
