"name","country","stateProvince","municipality","protectionCategory","UC_ID","source","type","slug"
"MONUMENTO NATURAL MORRO DA LADEIRA","Brazil","Maranhão","BARREIRINHAS (MA)","Proteção Integral",4.942,"cnuc_2025_08.csv","MONA","MONA_MORRO_DA_LADEIRA"
"PARQUE ESTADUAL BACANGA","Brazil","Maranhão","SÃO LUÍS (MA)","Proteção Integral",1.882,"cnuc_2025_08.csv","PE","PE_BACANGA"
"PARQUE ESTADUAL MARINHO BANCO DO ÁLVARO","Brazil","Maranhão","CURURUPU (MA)","Proteção Integral",3.544,"cnuc_2025_08.csv","PE","PE_MARINHO_BANCO_DO_ALVARO"
"PARQUE ESTADUAL MARINHO BANCO DO TAROL","Brazil","Maranhão","CURURUPU (MA)","Proteção Integral",3.543,"cnuc_2025_08.csv","PE","PE_MARINHO_BANCO_DO_TAROL"
"PARQUE ESTADUAL MARINHO DO PARCEL DE MANUEL LUÍS","Brazil","Maranhão","CURURUPU (MA)","Proteção Integral",1.886,"cnuc_2025_08.csv","PE","PE_MARINHO_DO_PARCEL_DE_MANUEL_LUIS"
"PARQUE ESTADUAL MIRADOR","Brazil","Maranhão","FERNANDO FALCÃO (MA) - FORMOSA DA SERRA NEGRA (MA) - MIRADOR (MA)","Proteção Integral",1.963,"cnuc_2025_08.csv","PE","PE_MIRADOR"
"PARQUE ESTADUAL SÍTIO DO RANGEDOR","Brazil","Maranhão","SÃO LUÍS (MA)","Proteção Integral",1.891,"cnuc_2025_08.csv","PE","PE_SITIO_DO_RANGEDOR"
"PARQUE NACIONAL CHAPADA DAS MESAS","Brazil","Maranhão","CAROLINA (MA) - ESTREITO (MA) - RIACHÃO (MA)","Proteção Integral",272,"cnuc_2025_08.csv","PARNA","PARNA_CHAPADA_DAS_MESAS"
"PARQUE NACIONAL LENÇÓIS MARANHENSES","Brazil","Maranhão","BARREIRINHAS (MA) - PRIMEIRA CRUZ (MA) - SANTO AMARO DO MARANHÃO (MA)","Proteção Integral",180,"cnuc_2025_08.csv","PARNA","PARNA_LENCOIS_MARANHENSES"
"PARQUE NATURAL MUNICIPAL RIACHO ESTRELA","Brazil","Maranhão","ANAPURUS (MA)","Proteção Integral",3.615,"cnuc_2025_08.csv","PNM","PNM_RIACHO_ESTRELA"
"RESERVA BIOLÓGICA GURUPI","Brazil","Maranhão","BOM JARDIM (MA) - CENTRO NOVO DO MARANHÃO (MA) - SÃO JOÃO DO CARÚ (MA)","Proteção Integral",207,"cnuc_2025_08.csv","REBIO","REBIO_GURUPI"
"RESERVA EXTRATIVISTA ARAPIRANGA-TROMAÍ","Brazil","Maranhão","CARUTAPERA (MA) - LUÍS DOMINGUES (MA)","Uso Sustentável",3.654,"cnuc_2025_08.csv","RESEX","RESEX_ARAPIRANGA-TROMAI"
"RESERVA EXTRATIVISTA BAÍA DO TUBARÃO","Brazil","Maranhão","HUMBERTO DE CAMPOS (MA) - ICATU (MA)","Uso Sustentável",3.653,"cnuc_2025_08.csv","RESEX","RESEX_BAIA_DO_TUBARAO"
"RESERVA EXTRATIVISTA CHAPADA LIMPA","Brazil","Maranhão","CHAPADINHA (MA)","Uso Sustentável",1.564,"cnuc_2025_08.csv","RESEX","RESEX_CHAPADA_LIMPA"
"RESERVA EXTRATIVISTA CIRIACO","Brazil","Maranhão","CIDELÂNDIA (MA) - IMPERATRIZ (MA)","Uso Sustentável",1.519,"cnuc_2025_08.csv","RESEX","RESEX_CIRIACO"
"RESERVA EXTRATIVISTA CURURUPU","Brazil","Maranhão","APICUM-AÇU (MA) - BACURI (MA) - CURURUPU (MA) - SERRANO DO MARANHÃO (MA)","Uso Sustentável",279,"cnuc_2025_08.csv","RESEX","RESEX_CURURUPU"
