"family","scientificName","scientificNameAuthorship","x"
"Porinaceae","Porina epiphylla","Fée",569
"Porinaceae","Porina rufula","(Kremp.) Vain.",372
"Roccellaceae","Mazosia melanophthalma","(Müll. Arg.) R. Sant.",327
"Strigulaceae","Strigula elegans","(Fée) Müll. Arg.",295
"Porinaceae","Porina rubentior","(Stirt.) Müll. Arg.",287
"Roccellaceae","Mazosia phyllosema","(Nyl.) Zahlbr.",238
"Gomphillaceae","Setomyces orchidae","Bat. & Peres",238
"Roccellaceae","Mazosia rotula","(Mont.) A. Massal.",230
"Chlorococcaceae","Chlorococcaceae","F.F.Blackman & Tansley",200
"Strigulaceae","Strigula subtilissima","(Fée) Müll. Arg.",194
"Strigulaceae","Strigula nemathora","Mont.",181
"Gomphillaceae","Spinomyces genipae","Bat. & Peres",145
"Gomphillaceae","Setomyces orchideae","Bat. & I.H. Lima",136
"Microtheliopsidaceae","Scutomyces concentricus","Bezerra, J. L. & Cavalc.",121
"Incertae Sedis","Tegoa parenchymatica","Bat. & Cavalc.",113
"Incertae Sedis","Mysia combreti","Bat.",111
"Microtheliopsidaceae","Byrsomyces olivaceus","Cavalc.",110
"Gomphillaceae","Setomyces minutus","Bat. & H. Maia",106
"Gomphillaceae","Setomyces giganteae","Bat. & Bezerra, J. L.",97
"Strigulaceae","Porinomyces phyllogena","(Müll. Arg.) Bat.",92
"Gomphillaceae","Setomyces belluciae","Bat. & Peres",92
"Microthyriaceae","Didymopyrostroma xylopiae","Bat. & Cavalc.",80
"Strigulaceae","Raciborskiella janeirensis","(Müll. Arg.) R. Sant.",72
"Gomphillaceae","Setomyces crescentiae","Bat. & Taltasse",66
"Gomphillaceae","Gyalectidium filicinum","Müll. Arg.",64
"Pertusariaceae","Phyllophiale alba","R. Sant.",64
"Ectolechiaceae","Acleistomyces rionegrensis","Bat., H. Maia & Peres",62
"Porinaceae","Trichothelium epiphyllum","Müll. Arg.",54
"Porinaceae","Porina albicera","(Kremp.) Overeem & D. Overeem",53
"Strigulaceae","Strigula maculata","(Cooke & Massee) R. Sant.",52
"Pilocarpaceae","Byssoloma tricholomum","(Mont.) Zahlbr.",49
"Porinaceae","Trichothelium annulatum","(P. Karst.) R. Sant.",45
"Gomphillaceae","Spinomyces giganteae","Bat. & M.P. Herrera",45
"Porinaceae","Porina cupreola","(Müll. Arg.) F. Schill.",41
"Thelotremataceae","Chroodiscus coccineus","(Leight.) Müll. Arg.",39
"Porinaceae","Porina verruculosa","Müll. Arg.",39
"Incertae Sedis","Tegoa eugeniae","Bat. & H. Maia",37
"FLORIDEOPHYCEAE","Gracilaria verrucosa","(Huds.) Papenf.",34
"Florideophyceae","Gracilaria verrucosa","(Hudson) Papenfuss",34
"Strigulaceae","Pycnociliospora crescentiae","Bat. & Taltasse",31
"Poaceae","Paspalum ceresia","(Kuntze) Chase",29
"Coenogoniaceae","Dimerella hypophylla","Bat. & Cavalc.",29
"Incertae Sedis","Tegoa tabebuiae","Bat. & Peres",29
"Schizothyriaceae","Spegazziniella fimbriata","Bat.",27
"Porinaceae","Porina phyllogena","Müll. Arg.",26
"Glomerellaceae","Colletotrichum gloeosporioides","(Penz.) Penz. & Sacc.",24
"Heliconiaceae","Heliconia acuminata","A.Rich.",24
"Strigulaceae","Pycnociliospora belluciae","Bat. & J.A. Lima",23
"Amphisphaeriaceae","Pestalotiopsis versicolor","(Speg.) Steyaert",21
"Gomphillaceae","Spinomyces ocoteae","Bat. & H. Maia",21
"Heliconiaceae","Heliconia acuminata","Rich.",21
"Vizellaceae","Vizella splendida","Bat. & Bezerra, J. L.",20
"Aulographaceae","Aulographum tropicale majus","Bat.",19
"Arthoniaceae","Arthonia trilocularis","Müll. Arg.",19
"Incertae Sedis","Ampulliferella amoeboides","Bat. & Cavalc.",18
"Gomphillaceae","Phallomyces palmae","Bat. & Valle",18
"Incertae Sedis","Peltaster fimbriatus minor","Bat. & Cavalc.",17
"Caliciaceae","Santessonia epiphylla","Bat. & Cavalc.",17
"Lyrommataceae","Lyromma nectandrae","Bat. & H. Maia",17
"Plenotrichaceae","Plenotrichaius swartziae","Bat. & Valle",17
"Microthyriaceae","Lecothyrium cylindricum lichenicola","Bat. & Cavalc.",16
"Roccellaceae","Mazosia rubropunctata","R. Sant.",16
"Gomphillaceae","Psorotheciopsis premneella","(Müll. Arg.) R. Sant.",15
"Incertae Sedis","Tegoa mappiae","Bat. & Bezerra, J. L.",15
"Leptostromataceae","Desmidophorus concentricus","Bat. & Cavalc.",15
"Sphaeriaceae","Sphaeriaceae","Fr.",15
"Sapindaceae","Cupania olivacea","Gleason & A.C.Sm.",15
"Sematophyllaceae","Trichostomum subdemissum","(Besch.) A.Jaeger",14
"Meliolaceae","Meliolaceae","G.W. Martin ex Hansf.",14
"Marantaceae","Goeppertia","Nees",14
"Incertae Sedis","Ampulliferopsis hippocrateacearum","Bat. & Cavalc.",13
"Incertae Sedis","Mysia microspora","Bat. & Cavalc.",13
"Strigulaceae","Strigula xylopiae","Bat. & Cavalc.",13
"Strigulaceae","Pycnociliospora caesalpinaefolii","Bat. & J.A. Lima",13
"Euphorbiaceae","Croton ludovicensis","E.L.Pereira & Y.Rossine",13
"Amaranthaceae","Amaranthus dubius","Mart. ex Thell.",13
"Halymeniaceae","Cryptonemia luxurians","(C. Agardh) J. Agardh",11
"Halymeniaceae","Cryptonemia luxurians","(C.Agardh J.Agardh)",11
"Incertae Sedis","Catenata antillarum","(Fée) Bat.",11
"Micropeltidaceae","Stomiopeltis rubi","(Fuckel.) Petr.",11
"Acanthaceae","Mendoncia bivalvis","(L.fil.) Merr.",11
"Amaranthaceae","Alternanthera flavogrisea","(Urb.) Urb.",11
"Roccellaceae","Mazosiella ignota","Batista, AC; Maia, HS",11
"Euphorbiaceae","Croton ludovicensis","E.L. Pereira & Rossine",11
"Arthoniaceae","Arthonia cyanea","Müll. Arg.",11
"Strigulaceae","Strigula subelegans","Vain.",11
"Fabaceae","Grona barbata","(L.) H.Ohashi & K.Ohashi",10
"Ramalinaceae","Bacidia rhaphidophylli","(Rehm) Zahlbr.",10
"Gomphillaceae","Aulaxina quadrangula","(Stirt.) R. Sant.",10
"Gomphillaceae","Calenia conspersa","(Stirt.) R. Sant.",10
"Micropeltidaceae","Hansfordiopeltis cupaniae","Bat. & Bezerra, J. L.",10
"Gomphillaceae","Setomyces concentricus","Bat., Bezerra, J. L. & Cavalc.",10
"Vizellaceae","Vizella bingervilliana","C. Moreau & M. Moreau",10
"EUPHORBIACEAE","Croton ludovicensis","E.L. Pereira & Rossine",10
"Ramalinaceae","Bacidia pauciseptata","R. Sant.",10
