"name","NumRecords","NumOuro","NumPrata","NumBronze","NumTaxons","NumSpecies","NumGenus","NumFamilies","NumLatao","NumNoMatch"
"PE ALTAMIRO DE MOURA PACHECO",11,0,0,0,9,9,7,5,9,0
"PE ARAGUAIA",8,0,0,1,5,5,4,2,4,0
"PE PARAÚNA",16,6,0,0,10,10,10,10,4,0
"PE PIRINEUS",9,2,0,0,9,9,9,7,7,0
"PE SERRA DE CALDAS NOVAS",7,4,0,1,6,6,3,3,1,0
"PE SERRA DOURADA",1,1,0,0,1,1,1,1,0,0
"PE TERRA RONCA",10,2,0,0,8,8,8,7,6,0
"PARNA CHAPADA DOS VEADEIROS",193,36,3,19,155,144,105,49,97,0
"PARNA EMAS",34,22,0,4,32,32,20,13,6,0
"RESEX LAGO DO CEDRO",3,0,0,0,3,3,3,2,3,0
"RPPN CACHOEIRA DAS PEDRAS BONITAS",4,0,0,0,3,3,3,2,3,0
"RPPN CARA PRETA",1,0,0,1,1,1,1,1,0,0
"RPPN LINDA SERRA DOS TOPÁZIOS",6,3,0,1,5,5,5,4,1,0
"RPPN MURUNDU",1,1,0,0,1,1,1,1,0,0
"RPPN VALE DAS ARARAS",3,0,0,0,3,3,3,2,3,0
"RPPN VARANDA DA SERRA",1,0,0,0,1,1,1,1,1,0
