"name","NumRecords","NumOuro","NumPrata","NumBronze"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA JAQUANÊZ",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA MATA FUNDA",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA PALMEIRAS",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA PINDORAMA",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SANTA BRANCA",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SANTA LUZIA",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA VAGAFOGO BOA VISTA",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA VEREDA DO GATO",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FLOR DAS ÁGUAS DO CERRADO",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FLOR DO CERRADO",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FLOR DO CERRADO II",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FLOR DO CERRADO III",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL INTEGRA O PARQUE",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL IRACEMA VALENTE FRANCO",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL JOÃO DE BARRO",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LAVRINHAS",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LINDA SERRA DOS TOPÁZIOS",6,6,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MAGIA DO CERRADO",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MARIA BATISTA",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA DA BORBOLETA AZUL",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MIMOSA",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MURUNDU",1,1,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL NASCENTES DO RIO ARAGUAIA",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL NASCENTES DO RIO TOCANTINS",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PARQUE BOTÂNICO DOS KAIAPÓS",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PARQUE DO CAPETINGA",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PAU TERRA",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PAU TERRA II",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PONTAL DO JABURU",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PONTE DA PEDRA",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RECANTO DO ARCO-ÍRIS (NOVO)",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA AMBIENTAL DE EDUCAÇÃO E PESQUISA BANANA MENINA",0,0,0,0
